,name,rating,location,address,place
0,MEJOR RESTAURANTE ARGENTINO: La Cabaña Argentina Madrid,4.6,"{'type': 'Point', 'coordinates': [-3.6990102, 40.4157139]}","Calle de Ventura de la Vega, 10, 28014 Madrid, Spain",argentino
1,El Viejo Almacén de Buenos Aires,4.6,"{'type': 'Point', 'coordinates': [-3.7234308, 40.4811978]}","Calle de Ramón Gómez de la Serna, 4, 28035 Madrid, Spain",argentino
2,Restaurante argentino Piantao,4.8,"{'type': 'Point', 'coordinates': [-3.6961166, 40.3920659]}","Paseo de la Chopera, 69, 28045 Madrid, Spain",argentino
3,Restaurante Argentino El Camoatí,4.5,"{'type': 'Point', 'coordinates': [-3.7123849, 40.413363]}","Calle de Alfonso VI, 3, 28005 Madrid, Spain",argentino
4,Che!!! Asador Argentino (CC. Plenilunio),4.0,"{'type': 'Point', 'coordinates': [-3.5875159, 40.4468641]}","Calle de Aracne, s/n, 28022 Madrid, Spain",argentino
5,Pampa Beef,4.6,"{'type': 'Point', 'coordinates': [-3.7003198, 40.4163195]}","C. del Príncipe, 3, 28012 Madrid, Spain",argentino
6,Parrilla El Gaucho,4.5,"{'type': 'Point', 'coordinates': [-3.703043, 40.418173]}","Calle de Tetuán, 34, 28013 Madrid, Spain",argentino
7,Tango Restaurante Madrid,4.6,"{'type': 'Point', 'coordinates': [-3.6765445, 40.4342967]}","Calle del General Díaz Porlier, 95, 28006 Madrid, Spain",argentino
8,Pecados Argentinos,4.1,"{'type': 'Point', 'coordinates': [-3.7071333, 40.4097738]}","Plaza de Cascorro, 11, 28005 Madrid, Spain",argentino
9,KPrichos Argentinos,4.5,"{'type': 'Point', 'coordinates': [-3.6767426, 40.4257162]}","Calle del General Díaz Porlier, 8, 28001 Madrid, Spain",argentino
10,De María,4.4,"{'type': 'Point', 'coordinates': [-3.697362, 40.425832]}","Calle de Hortaleza, 81, 28004 Madrid, Spain",argentino
11,MU! El Placer de la Carne,4.6,"{'type': 'Point', 'coordinates': [-3.7040549, 40.4194979]}","Calle de Chinchilla, 3, 28013 Madrid, Spain",argentino
