,name,rating,location,address,place
0,ASIAN RESTAURANT,4.1,"{'type': 'Point', 'coordinates': [-3.7076473, 40.42198940000001]}","Calle de San Bernardo, 10, 28015 Madrid, Spain",asian
1,ASIAN ARMY,4.8,"{'type': 'Point', 'coordinates': [-3.698668899999999, 40.4116112]}","Calle de Santa Isabel, 5 Dentro Mercado Anton Martin Planta Baja, puesto 7-11, 28012 Madrid, Spain",asian
2,Yatai Market,4.5,"{'type': 'Point', 'coordinates': [-3.7039463, 40.4130309]}","Calle del Dr Cortezo, 10, 28012 Madrid, Spain",asian
3,Restaurante Asia Gallery,4.2,"{'type': 'Point', 'coordinates': [-3.695663799999999, 40.4154509]}","Plaza de las Cortes, 7, 28014 Madrid, Spain",asian
4,Asia Té,4.2,"{'type': 'Point', 'coordinates': [-3.6851, 40.471041]}","Calle Agustín de Foxá, 27, 28036 Madrid, Spain",asian
5,Toypanda Baos Malasaña,4.3,"{'type': 'Point', 'coordinates': [-3.702618, 40.425049]}","Calle del Espíritu Santo, 7, 28004 Madrid, Spain",asian
6,Asian Party Madrid,3.7,"{'type': 'Point', 'coordinates': [-3.694008, 40.45433389999999]}","Av. de Brasil, 5, 28020 Madrid, Spain",asian
7,Asia Gallery Lagasca,4.4,"{'type': 'Point', 'coordinates': [-3.6848121, 40.4293481]}","Calle de Lagasca, 82, 28001 Madrid, Spain",asian
8,Tuk Tuk Asian Street Food,4.0,"{'type': 'Point', 'coordinates': [-3.6955637, 40.4224033]}","Calle del Barquillo, 26, bajo, 28004 Madrid, Spain",asian
9,Tuk Tuk Asian Street Food Perón,4.1,"{'type': 'Point', 'coordinates': [-3.6968825, 40.4522305]}","Av. del General Perón, 16, bajo, 28020 Madrid, Spain",asian
10,Tuk Tuk Asian Street Food Goya,4.1,"{'type': 'Point', 'coordinates': [-3.6729128, 40.4262427]}","Calle de Alcalá, 167, bajo, 28009 Madrid, Spain",asian
11,Asian Street Food,5.0,"{'type': 'Point', 'coordinates': [-3.7065755, 40.4196009]}","Calle de Preciados, 31, 28013 Madrid, Spain",asian
12,Orient,3.9,"{'type': 'Point', 'coordinates': [-3.7107534, 40.422457]}","Calle de Leganitos, 37, 28013 Madrid, Spain",asian
