,name,rating,location,address,price_level,place
0,Football fields,4.0,"{'type': 'Point', 'coordinates': [-3.603084999999999, 40.4077606]}","Calle Vivero de la Pilarica, 3, 28032 Madrid, Spain",,campo de futbol
1,Alquiler campo futbol 7 Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.6952822, 40.49489]}","Calle Hospitalet de Llobregat, 13, 28034 Madrid, Spain",,campo de futbol
2,Campo de futbol 7. Istalacion deportiva,4.5,"{'type': 'Point', 'coordinates': [-3.6978904, 40.5013458]}","28034 Madrid, Spain",,campo de futbol
3,Alquilar campo fútbol 7 Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.7233393, 40.4850078]}","Calle de Ramón Gómez de la Serna, 22, 28035 Madrid, Spain",,campo de futbol
4,ENGLISH SOCCER CAMP,5.0,"{'type': 'Point', 'coordinates': [-3.7386545, 40.48149]}","Calle Braojos, 21, 28035 Madrid, Spain",,campo de futbol
5,Alquiler campo futbol 7 Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.6578426, 40.4723815]}","Calle del Velacho Bajo, 28033 Madrid, Spain",,campo de futbol
6,Soccer and basketball court,4.1,"{'type': 'Point', 'coordinates': [-3.6393939, 40.4089781]}","Av. del Dr. García Tapia, 192D, 28030 Madrid, Spain",,campo de futbol
7,Fútbol 7 Canal,3.7,"{'type': 'Point', 'coordinates': [-3.7088416, 40.4458361]}","Paseo de S. Fco. de Sales, 43, 28003 Madrid, Spain",,campo de futbol
8,Campo Futbol,4.3,"{'type': 'Point', 'coordinates': [-3.7282994, 40.3772266]}","Vía Lusitana, 19, 28025 Madrid, Spain",,campo de futbol
9,Campo fútbol CES (cesped artificial),4.4,"{'type': 'Point', 'coordinates': [-3.6422461, 40.4718484]}","Calle Mar Adriático, 11b, 28033 Madrid, Spain",,campo de futbol
10,Campo De Futbol,2.6,"{'type': 'Point', 'coordinates': [-3.5844723, 40.4520547]}","Calle de Medina de Pomar, 11, 28042 Madrid, Spain",,campo de futbol
11,Campo De Futbol Celtic Castilla,4.8,"{'type': 'Point', 'coordinates': [-3.7087, 40.44625]}","Paseo de S. Fco. de Sales, 43, 28003 Madrid, Spain",,campo de futbol
12,Soccer field,5.0,"{'type': 'Point', 'coordinates': [-3.7050681, 40.4708675]}","28029 Madrid, Spain",,campo de futbol
13,Soccer field,3.0,"{'type': 'Point', 'coordinates': [-3.6430749, 40.4118569]}","28030 Madrid, Spain",,campo de futbol
14,Estadio de Vallecas,4.2,"{'type': 'Point', 'coordinates': [-3.6587075, 40.392062]}","Calle del Payaso Fofó, 0, 28018 Madrid, Spain",,campo de futbol
15,Campo de Fútbol de Arena,5.0,"{'type': 'Point', 'coordinates': [-3.7245111, 40.4254112]}","Glorieta San Antonio de la Florida, 7, 28008 Madrid, Spain",,campo de futbol
16,Soccer field,5.0,"{'type': 'Point', 'coordinates': [-3.6284062, 40.4085596]}","Calle de Flandes, 6, 28030 Madrid, Spain",,campo de futbol
17,"Campo de Futbol ""Jose Duran"" (HA)",4.2,"{'type': 'Point', 'coordinates': [-3.6642281, 40.3806265]}","Av. del Parque de Palomeras Bajas, 10, 28018 Madrid, Spain",,campo de futbol
18,Campo Municipal Dehesa de la Villa,3.8,"{'type': 'Point', 'coordinates': [-3.7152612, 40.462387]}","Calle del Alcalde Martín de Alzaga, 4, 28039 Madrid, Spain",,campo de futbol
19,Campo fútbol AFE,4.3,"{'type': 'Point', 'coordinates': [-3.6537953, 40.4163551]}","Calle Alcalde Garrido Juaristi, 17, 28030 Madrid, Spain",,campo de futbol
