,name,rating,location,address,price_level,place
0,Circus Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.6920005, 40.4161802]}","Plaza de la Lealtad, 2, Planta 4, 28014 Madrid, Spain",,circus
1,Gran Circo Mundial,3.0,"{'type': 'Point', 'coordinates': [-3.634788, 40.4625587]}","Calle de Silvano, 108, 28043 Madrid, Spain",,circus
2,Teatro Circo Price,4.5,"{'type': 'Point', 'coordinates': [-3.698592, 40.405985]}","Ronda de Atocha, 35, 28012 Madrid, Spain",,circus
3,Circo Quiros,4.1,"{'type': 'Point', 'coordinates': [-3.7408384, 40.3642504]}","Calle Treseta, 4, 28054 Madrid, Spain",,circus
4,Scimmie Volanti II Asociación y escuela de circo de Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.7142046, 40.4718267]}","Calle de Celanova, 2, 28029 Madrid, Spain",,circus
5,Circus School Carampa,4.4,"{'type': 'Point', 'coordinates': [-3.745821899999999, 40.41519539999999]}","Albergue Juvenil Richard Schirrmann, Camino del Robledal, 2, 28011 Madrid, Spain",,circus
6,San Mateo Circus,4.5,"{'type': 'Point', 'coordinates': [-3.700117999999999, 40.425048]}","Calle de San Mateo, 6, 28004 Madrid, Spain",2.0,circus
7,Productores De Sonrisas,4.7,"{'type': 'Point', 'coordinates': [-3.6478582, 40.5326606]}","Carr. de Fuencarral, 44, 28108 Alcobendas, Madrid, Spain",,circus
8,THE CIRCUS,4.5,"{'type': 'Point', 'coordinates': [-3.7035881, 40.4322805]}","Calle de Fuencarral, 144, 28010 Madrid, Spain",,circus
9,Escuela de Circo Arte Olimpia,5.0,"{'type': 'Point', 'coordinates': [-3.643541, 40.3758091]}","Calle de Luis I, 31, Nave 1, 28031 Madrid, Spain",,circus
10,Restaurante Circus Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.686705, 40.4724728]}","Calle Mauricio Ravel, 6, 28046 Madrid, Spain",,circus
11,Circus Barnamoda,5.0,"{'type': 'Point', 'coordinates': [-3.704522799999999, 40.4138409]}","Calle del Conde de Romanones, 3, 28012 Madrid, Spain",,circus
12,Circus Events,3.8,"{'type': 'Point', 'coordinates': [-3.7240922, 40.4316749]}","Paseo del Pintor Rosales, 76, 28008 Madrid, Spain",,circus
13,The Circus Marketing Communication,4.0,"{'type': 'Point', 'coordinates': [-3.6726317, 40.4309352]}","Calle de Padilla, 82, 28006 Madrid, Spain",,circus
14,Circus Arena,4.3,"{'type': 'Point', 'coordinates': [-3.6564482, 40.3912989]}","Calle Teniente Muñoz Díaz, 21, 28018 Madrid, Spain",,circus
15,CIRCUS TATTOO,4.8,"{'type': 'Point', 'coordinates': [-3.6944592, 40.4070663]}","28012, Ronda de Atocha, 5, 28012 Madrid, Spain",,circus
16,ElCircódromo,4.9,"{'type': 'Point', 'coordinates': [-3.8146142, 40.3376546]}","Poligono Urtinsa II, Calle Geológicas, 27, 28922 Alcorcón, Madrid, Spain",,circus
17,Team All Star,4.9,"{'type': 'Point', 'coordinates': [-3.6965588, 40.3349657]}","Calle Transversal Tercera, 28021 Madrid, Spain",,circus
18,Sala Charivari Charivari and Circus School,4.6,"{'type': 'Point', 'coordinates': [-3.706748999999999, 40.408517]}","Calle de Fray Ceferino González, 13, 28005 Madrid, Spain",,circus
19,MAGIC CIRCUS,5.0,"{'type': 'Point', 'coordinates': [-3.7143563, 40.4821238]}","Av. de Betanzos, 91, 28034 Madrid, Spain",,circus
20,Circus Kids SL,0.0,"{'type': 'Point', 'coordinates': [-3.7085893, 40.43165020000001]}","Calle de Rodríguez San Pedro, 14, 28015 Madrid, Spain",,circus
21,Circus Park,4.1,"{'type': 'Point', 'coordinates': [-3.7190386, 40.3413093]}","Calle de Domingo Párraga, 84, Nave 16, 28021 Madrid, Spain",,circus
22,Rock & Roll Circus,3.3,"{'type': 'Point', 'coordinates': [-3.7075688, 40.4190821]}","Calle de las Conchas, 4, 28013 Madrid, Spain",,circus
23,Circus male hairdresser Barber,4.8,"{'type': 'Point', 'coordinates': [-3.671065, 40.4331766]}","Calle Ardemans, 8, 28028 Madrid, Spain",,circus
24,Rock Circus Bar,1.4,"{'type': 'Point', 'coordinates': [-3.6957397, 40.4262238]}","Calle de Campoamor, 11, 28004 Madrid, Spain",,circus
25,cerrado,4.6,"{'type': 'Point', 'coordinates': [-3.6656283, 40.3757778]}","Calle de Ibros, 4, 28053 Madrid, Spain",,circus
26,CIRCUS BARBER MANUEL BECERRA,4.9,"{'type': 'Point', 'coordinates': [-3.6678823, 40.4258287]}","Calle Benito de Castro, 12, 28028 Madrid, Spain",,circus
27,"Sala Golden, Circus Smoking Club",3.3,"{'type': 'Point', 'coordinates': [-3.7069939, 40.42130299999999]}","C/ Gran Vía, 54, 28013 Madrid, Spain",,circus
28,The big escape,4.8,"{'type': 'Point', 'coordinates': [-3.7029556, 40.4094107]}","Calle del Amparo, 32, 28012 Madrid, Spain",,circus
