,name,rating,location,address,place
0,OPIUM CLUB,3.8,"{'type': 'Point', 'coordinates': [-3.692209, 40.437878]}","Calle de José Abascal, 56, 28003 Madrid, Spain",club
1,Goya Social Club,3.6,"{'type': 'Point', 'coordinates': [-3.682990999999999, 40.425301]}","Calle de Goya, 43, 28001 Madrid, Spain",club
2,Kapital,3.8,"{'type': 'Point', 'coordinates': [-3.6931083, 40.4097611]}","C. de Atocha, 125, 28012 Madrid, Spain",club
3,In Da Club Madrid,0.0,"{'type': 'Point', 'coordinates': [-3.7095126, 40.4386454]}","Calle de Cea Bermúdez, Número 21, 28003 Madrid, Spain",club
4,Planet Club,4.6,"{'type': 'Point', 'coordinates': [-3.7005493, 40.4152145]}","C. del Príncipe, 20, 28012 Madrid, Spain",club
5,Executives Club Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.6847934, 40.4375802]}","Calle de María de Molina, 26, 28006 Madrid, Spain",club
6,Ochoymedio,3.6,"{'type': 'Point', 'coordinates': [-3.6997571, 40.4270749]}","C. de Barceló, 11, 28004 Madrid, Spain",club
7,Cibeles Night Club,3.7,"{'type': 'Point', 'coordinates': [-3.7075008, 40.4179793]}","Calle de las Hileras, 17, 28013 Madrid, Spain",club
8,Eleven Club Madrid,3.7,"{'type': 'Point', 'coordinates': [-3.6995514, 40.41562649999999]}","Calle de Echegaray, 11, 28014 Madrid, Spain",club
9,Nomad Club,4.0,"{'type': 'Point', 'coordinates': [-3.699651799999999, 40.4150834]}","Calle de Manuel Fernández y González, 6, 28014 Madrid, Spain",club
10,The Host Club,4.2,"{'type': 'Point', 'coordinates': [-3.7172868, 40.4263181]}","Calle de Ferraz, 38, 28008 Madrid, Spain",club
11,ThunderCat Club,3.9,"{'type': 'Point', 'coordinates': [-3.695741899999999, 40.426252]}","Calle de Campoamor, 11, 28004 Madrid, Spain",club
12,Commo,3.7,"{'type': 'Point', 'coordinates': [-3.702391, 40.41526229999999]}","Calle de Espoz y Mina, 22, 28012 Madrid, Spain",club
13,Independance Club,3.8,"{'type': 'Point', 'coordinates': [-3.692779899999999, 40.409605]}","C. de Atocha, 127, 28012 Madrid, Spain",club
14,Bar de copas y club nocturno Pigmalion Madrid,4.6,"{'type': 'Point', 'coordinates': [-3.6881457, 40.4373877]}","C. del Pinar, 6, 28006 Madrid, Spain",club
15,Vive Madrid,3.8,"{'type': 'Point', 'coordinates': [-3.6999302, 40.46110059999999]}","Calle del Marqués de Viana, 15, 28020 Madrid, Spain",club
16,moondance madrid,3.5,"{'type': 'Point', 'coordinates': [-3.701058, 40.418402]}","Calle de la Aduana, 21, 28012 679013092, Madrid, Spain",club
17,Samsara,3.7,"{'type': 'Point', 'coordinates': [-3.7009025, 40.4159966]}","Calle de la Cruz, 7, 28012 Madrid, Spain",club
18,Chelsea Cabaret Madrid,3.6,"{'type': 'Point', 'coordinates': [-3.7075672, 40.4207748]}","Calle de Silva, 6, 28013 Madrid, Spain",club
19,El Sol,4.3,"{'type': 'Point', 'coordinates': [-3.7016321, 40.4190629]}","Calle de los Jardines, 3, 28013 Madrid, Spain",club
20,Joy Eslava Madrid,3.8,"{'type': 'Point', 'coordinates': [-3.7065661, 40.4171637]}","Calle del Arenal, 11, 28013 Madrid, Spain",club
21,Lucy In The Sky Club,4.2,"{'type': 'Point', 'coordinates': [-3.7078297, 40.4261175]}","Calle de San Vicente Ferrer, 55, 28015 Madrid, Spain",club
22,Berlín Cabaret,3.5,"{'type': 'Point', 'coordinates': [-3.7106608, 40.412346]}","Costanilla de San Pedro, 11, 28005 Madrid, Spain",club
