,name,rating,address,price_level,place,type,subtype,CP,latitude,longitude,geometry,price
0,Yelmo Cines Ideal,4.3,"Calle del Dr Cortezo, 6, 28012 Madrid, Spain",1.0,cinema,plan,culture,28012,40.4135301,-3.7038405,"{'type': 'Point', 'coordinates': [40.4135301, -3.7038405]}",1-15€
1,Cine Capitol,4.1,"C/ Gran Vía, 41, 28013 Madrid, Spain",1.0,cinema,plan,culture,28013,40.4204465,-3.7065821,"{'type': 'Point', 'coordinates': [40.4204465, -3.7065821]}",1-15€
2,Cines Verdi,4.3,"Calle de Bravo Murillo, 28, 28015 Madrid, Spain",1.0,cinema,plan,culture,28015,40.4365832,-3.7040072,"{'type': 'Point', 'coordinates': [40.4365832, -3.7040072]}",1-15€
3,Cines Renoir Princesa,4.1,"C. de la Princesa, 3, 28008 Madrid, Spain",1.0,cinema,plan,culture,28008,40.4250002,-3.7128577,"{'type': 'Point', 'coordinates': [40.4250002, -3.7128577]}",1-15€
4,Cine Yelmo Luxury Palafox,4.4,"Calle de Luchana, 15, 28010 Madrid, Spain",1.0,cinema,plan,culture,28010,40.4300857,-3.7008661,"{'type': 'Point', 'coordinates': [40.4300857, -3.7008661]}",1-15€
5,Artistic Metropol,4.5,"Calle de las Cigarreras, 6, 28005 Madrid, Spain",1.0,cinema,plan,culture,28005,40.4048458,-3.7074518,"{'type': 'Point', 'coordinates': [40.4048458, -3.7074518]}",1-15€
6,Cine Callao,4.2,"Plaza del Callao, 3, 28013 Madrid, Spain",1.0,cinema,plan,culture,28013,40.42006,-3.70618,"{'type': 'Point', 'coordinates': [40.42006, -3.70618]}",1-15€
7,Cine Doré,4.6,"Calle de Santa Isabel, 3, 28012 Madrid, Spain",1.0,cinema,plan,culture,28012,40.41164,-3.6989956,"{'type': 'Point', 'coordinates': [40.41164, -3.6989956]}",1-15€
8,Cines Embajadores,4.7,"Glorieta Sta. María de la Cabeza, 5, 28045 Madrid, Spain",1.0,cinema,plan,culture,28045,40.4008446,-3.6984882,"{'type': 'Point', 'coordinates': [40.4008446, -3.6984882]}",1-15€
9,Cibeles de Cine,4.7,"Plaza Cibeles, 1, 28014 Madrid, Spain",1.0,cinema,plan,culture,28014,40.4189339,-3.6921521,"{'type': 'Point', 'coordinates': [40.4189339, -3.6921521]}",1-15€
10,Cines Renoir Plaza de España,4.5,"Calle de Martín de los Heros, 12, 28008 Madrid, Spain",1.0,cinema,plan,culture,28008,40.4243792,-3.7133863,"{'type': 'Point', 'coordinates': [40.4243792, -3.7133863]}",1-15€
11,Cine Estudio del Circulo de Bellas Artes,4.6,"Calle del Marqués de Casa Riera, 4, 28014 Madrid, Spain",1.0,cinema,plan,culture,28014,40.4180606,-3.6962725,"{'type': 'Point', 'coordinates': [40.4180606, -3.6962725]}",1-15€
12,Cines Renoir Retiro,4.3,"C. de Narváez, 42, 28009 Madrid, Spain",1.0,cinema,plan,culture,28009,40.4200861,-3.6763452,"{'type': 'Point', 'coordinates': [40.4200861, -3.6763452]}",1-15€
13,Cine Yelmo,4.1,"Calle Calderilla, 1, 28054 Madrid, Spain",1.0,cinema,plan,culture,28054,40.36326589999999,-3.7390358,"{'type': 'Point', 'coordinates': [40.36326589999999, -3.7390358]}",1-15€
14,Palacio de la Prensa Cinema,4.1,"Plaza del Callao, 4, 28013 Madrid, Spain",1.0,cinema,plan,culture,28013,40.4204866,-3.7059346,"{'type': 'Point', 'coordinates': [40.4204866, -3.7059346]}",1-15€
15,Golem,4.5,"Calle de Martín de los Heros, 14, 28008 Madrid, Spain",1.0,cinema,plan,culture,28008,40.42467509999999,-3.7135633,"{'type': 'Point', 'coordinates': [40.42467509999999, -3.7135633]}",1-15€
16,Cineteca,4.5,"Plaza de Legazpi, 8, 28045 Madrid, Spain",1.0,cinema,plan,culture,28045,40.3917766,-3.6973165,"{'type': 'Point', 'coordinates': [40.3917766, -3.6973165]}",1-15€
17,Cine Lengaspi,3.3,"C/ Gran Vía, 31, 28013 Madrid, Spain",1.0,cinema,plan,culture,28013,40.4200676,-3.7039097,"{'type': 'Point', 'coordinates': [40.4200676, -3.7039097]}",1-15€
18,Cine De Verano,3.5,"28015 Madrid, Spain",1.0,cinema,plan,culture,28015,40.4275305,-3.7105548,"{'type': 'Point', 'coordinates': [40.4275305, -3.7105548]}",1-15€
19,Cine de verano de la Bombilla: FESCINAL,4.4,"Av. de Valladolid, SN, 28008 Madrid, Spain",1.0,cinema,plan,culture,28008,40.42668949999999,-3.7262515,"{'type': 'Point', 'coordinates': [40.42668949999999, -3.7262515]}",1-15€
