,name,rating,location,address,place
0,Flow escuela de baile y pole dance EN MADRID,4.6,"{'type': 'Point', 'coordinates': [-3.6998981, 40.4572721]}","Calle de San Germán, 56, 28020 Madrid, Spain",dancing
1,Báilame Dance Studio,4.8,"{'type': 'Point', 'coordinates': [-3.707351, 40.422743]}","Calle de San Bernardo, 20, bajo izquierda, 28015 Madrid, Spain",dancing
2,Kilatinum - Club Bailarios,4.0,"{'type': 'Point', 'coordinates': [-3.7074702, 40.4227306]}","Calle de San Bernardo, 20, 28015 Madrid, Spain",dancing
3,Dancing Dreams,4.7,"{'type': 'Point', 'coordinates': [-3.6715391, 40.4029055]}","C. de los Pajaritos, 19, 28007 Madrid, Spain",dancing
4,Madrid Salsa Club,1.0,"{'type': 'Point', 'coordinates': [-3.6983671, 40.4110261]}","Calle de Santa Isabel, 9, 28012 Madrid, Spain",dancing
5,DANCES WITH STYLE / CUBAN SALSA CLASSES IN MADRID,4.9,"{'type': 'Point', 'coordinates': [-3.7036534, 40.4148114]}","Calle de Carretas, 14, 5º F, 28012 Madrid, Spain",dancing
6,A Ritmo de Swing,5.0,"{'type': 'Point', 'coordinates': [-3.6966, 40.401565]}","Calle de Tarragona, 18, 28045 Madrid, Spain",dancing
7,Salsa Madrid Centro,4.4,"{'type': 'Point', 'coordinates': [-3.6891317, 40.41919770000001]}","Plaza de la Independencia, 8, 28001 Madrid, Spain",dancing
8,The Host Club,4.2,"{'type': 'Point', 'coordinates': [-3.7172868, 40.4263181]}","Calle de Ferraz, 38, 28008 Madrid, Spain",dancing
9,Dancing Boulevard,4.9,"{'type': 'Point', 'coordinates': [-3.6441465, 40.458986]}","Calle de Andorra, 65, 28043 Madrid, Spain",dancing
10,Circle Dance,4.7,"{'type': 'Point', 'coordinates': [-3.707742, 40.430269]}","Pl. del Conde del Valle de Súchil, 3, 28015 Madrid, Spain",dancing
