,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
0,Fábrica Maravillas,4.3,"Calle de Valverde, 29, 28004 Madrid, Spain",2.0,brewery,28004,40.4226581,-3.7017355,"{'type': 'Point', 'coordinates': [-3.7017355, 40.4226581]}",15-25€
1,Mad Brewing,4.4,"C. de Julián Camarillo, 19, 28037 Madrid, Spain",2.0,brewery,28037,40.4350769,-3.6312913,"{'type': 'Point', 'coordinates': [-3.6312913, 40.4350769]}",15-25€
2,Cervecera Península,4.8,"Calle La Granja #5, Nave 1, 28108 Alcobendas, Madrid, Spain",2.0,brewery,28108,40.5271494,-3.6597098,"{'type': 'Point', 'coordinates': [-3.6597098, 40.5271494]}",1-15€
3,La Osita,4.7,"Calle de la Cava Baja, 10, 28005 Madrid, Spain",2.0,brewery,28005,40.413234,-3.7084903,"{'type': 'Point', 'coordinates': [-3.7084903, 40.413234]}",15-25€
4,Bee Beer. Craft Beers & Cheeses,4.6,"Calle de Augusto Figueroa, 30, 28004 Madrid, Spain",2.0,brewery,28004,40.421978,-3.69692,"{'type': 'Point', 'coordinates': [-3.69692, 40.421978]}",15-25€
5,Cervezas La Cibeles,4.6,"Calle Petróleo, 34, 28918 Leganés, Madrid, Spain",2.0,brewery,28918,40.3523488,-3.7994132,"{'type': 'Point', 'coordinates': [-3.7994132, 40.3523488]}",15-25€
6,Brew Wild Pizza Bar,4.6,"Calle de Echegaray, 23, 28014 Madrid, Spain",2.0,brewery,28014,40.4148026,-3.6995115,"{'type': 'Point', 'coordinates': [-3.6995115, 40.4148026]}",1-15€
7,Cervezas 28 Iberica S. L.,5.0,"C/ Gran Vía, 4, 28013 Madrid, Spain",2.0,brewery,28013,40.4193028,-3.6976468,"{'type': 'Point', 'coordinates': [-3.6976468, 40.4193028]}",15-25€
8,One Beer,4.7,"Calle Destreza, 3, 28906 Getafe, Madrid, Spain",2.0,brewery,28906,40.31551049999999,-3.6745077,"{'type': 'Point', 'coordinates': [-3.6745077, 40.31551049999999]}",25-50€
9,Cervecería Deportiva,0.0,"Costanilla de los Ángeles, 12, 28013 Madrid, Spain",2.0,brewery,28013,40.4190408,-3.7080657,"{'type': 'Point', 'coordinates': [-3.7080657, 40.4190408]}",15-25€
10,Los Cervecistas,4.9,"Calle Titán, 15, 28045 Madrid, Spain",2.0,brewery,28045,40.3909789,-3.680202299999999,"{'type': 'Point', 'coordinates': [-3.680202299999999, 40.3909789]}",15-25€
11,Dylan's Craft Beer Company,5.0,"Calle de San Bernardo, 107, 204, 28015 Madrid, Spain",2.0,brewery,28015,40.431991,-3.705396,"{'type': 'Point', 'coordinates': [-3.705396, 40.431991]}",15-25€
12,Cervezas Alhambra,0.0,"Calle de Benigno Soto, 28002 Madrid, Spain",2.0,brewery,28002,40.4478733,-3.6753321,"{'type': 'Point', 'coordinates': [-3.6753321, 40.4478733]}",15-25€
13,The Stuyck Co,4.4,"Corredera Alta de San Pablo, 33, 28004 Madrid, Spain",2.0,brewery,28004,40.4265004,-3.7017522,"{'type': 'Point', 'coordinates': [-3.7017522, 40.4265004]}",15-25€
14,Viuda de Cortés S.L.,0.0,"Paseo de la Florida, 51, 28008 Madrid, Spain",2.0,brewery,28008,40.4237653,-3.7245116,"{'type': 'Point', 'coordinates': [-3.7245116, 40.4237653]}",15-25€
15,Beerhouse - Craftbeer Bar,4.5,"Calle del Cardenal Cisneros, 16, 28010 Madrid, Spain",2.0,brewery,28010,40.4305865,-3.7017166,"{'type': 'Point', 'coordinates': [-3.7017166, 40.4305865]}",25-50€
16,Cervezas Alhambra,0.0,"Calle Vicente Espinel, 23, 28017 Madrid, Spain",2.0,brewery,28017,40.4344184,-3.6409801,"{'type': 'Point', 'coordinates': [-3.6409801, 40.4344184]}",15-25€
17,La Contenta Brewery,4.3,"Plaza de Chamberí, 3, 28010 Madrid, Spain",1.0,brewery,28010,40.432975,-3.697316,"{'type': 'Point', 'coordinates': [-3.697316, 40.432975]}",15-25€
18,Charlton Brewery Madrid,0.0,"Calle del Espíritu Santo, 8, 28004 Madrid, Spain",2.0,brewery,28004,40.4251914,-3.7026577,"{'type': 'Point', 'coordinates': [-3.7026577, 40.4251914]}",15-25€
19,Brewery Norwich International,4.4,"Calle de la Marroquina, 38, 28030 Madrid, Spain",1.0,brewery,28030,40.407804,-3.64773,"{'type': 'Point', 'coordinates': [-3.64773, 40.407804]}",15-25€
