,name,rating,location,address,price_level,place
0,BoulderMadrid,4.8,"{'type': 'Point', 'coordinates': [-3.669622999999999, 40.391332]}","Calle del Hachero, 12, 28053 Madrid, Spain",,escalada
1,Rocódromo Urban Monkey - Madrid,4.5,"{'type': 'Point', 'coordinates': [-3.697531499999999, 40.4016192]}","C/ Tarragona, 8, 28045 Madrid, Spain",,escalada
2,Sputnik Climbing Center,4.6,"{'type': 'Point', 'coordinates': [-3.656612, 40.5359884]}","Calle la Granja, 100, 28108 Alcobendas, Madrid, Spain",,escalada
3,Sharma Climbing Madrid,4.4,"{'type': 'Point', 'coordinates': [-3.62015, 40.43776]}","C. de Julián Camarillo, 55, 28037 Madrid, Spain",,escalada
4,Rockomadrid,4.7,"{'type': 'Point', 'coordinates': [-3.6959251, 40.4653457]}","Calle Monasterio de Leyre, 9, 28029 Madrid, Spain",,escalada
5,The Climb - Centro Escalada Madrid,4.5,"{'type': 'Point', 'coordinates': [-3.8010128, 40.3468025]}","Calle del Carbón, 5, 28918 Leganés, Madrid, Spain",,escalada
6,ZONE BOULDER MADRID / WITHDRAWAL - Climbing Madrid,4.5,"{'type': 'Point', 'coordinates': [-3.668765, 40.434493]}","Calle de Azcona, 44, 28028 Madrid, Spain",,escalada
7,Rocódromo Espacio Acción,4.6,"{'type': 'Point', 'coordinates': [-3.6541671, 40.4318495]}","Calle de Marcelino Álvarez, 6, 28017 Madrid, Spain",,escalada
8,Madrid Vertical,4.5,"{'type': 'Point', 'coordinates': [-3.6005343, 40.4254975]}","Calle Sofía, 34, 28022 Madrid, Spain",,escalada
9,ESCALADA en MADRID,0.0,"{'type': 'Point', 'coordinates': [-3.7005575, 40.4140442]}","Cl de las Huertas, 13, 28160 Madrid, Spain",,escalada
10,Roc 30 Climbing wall,4.4,"{'type': 'Point', 'coordinates': [-3.7188064, 40.399208]}","P.º de San Illán, 106, 28019 Madrid, Spain",,escalada
11,"Fisura, tienda de escalada",4.8,"{'type': 'Point', 'coordinates': [-3.7039355, 40.4346793]}","Calle de Feijóo, 4, 28010 Madrid, Spain",,escalada
12,Rock Climbing,2.5,"{'type': 'Point', 'coordinates': [-3.6998333, 40.4359813]}","Calle de Medellín, Nº10, 4º 2, 28010 Madrid, Spain",,escalada
13,Rocódromo de Manoteras,4.4,"{'type': 'Point', 'coordinates': [-3.6627938, 40.4761204]}","Calle de Somontín, 9, 28033 Madrid, Spain",,escalada
14,Rocódromo,4.5,"{'type': 'Point', 'coordinates': [-3.6648105, 40.4189666]}","C/ del Alcalde Sainz de Baranda, 90, 28007 Madrid, Spain",,escalada
15,Rocodromo Escalada Planetario,4.5,"{'type': 'Point', 'coordinates': [-3.6862681, 40.3930988]}","Calle de la Antracita, 37, 28045 Madrid, Spain",,escalada
16,The Climb Kids,4.5,"{'type': 'Point', 'coordinates': [-3.801027599999999, 40.3468176]}","Polígono Industrial San José de Valderas, Calle del Carbón, 5, 28918 Leganés, Madrid, Spain",,escalada
17,Rocódromo de Hortaleza,4.0,"{'type': 'Point', 'coordinates': [-3.6516281, 40.4737131]}","Calle de la Costa del Sol, 12, 28033 Madrid, Spain",,escalada
18,Salamandra Boulder Café Rocodromo,4.4,"{'type': 'Point', 'coordinates': [-3.7069969, 40.4343683]}","Calle Escosura, 5, 28015 Madrid, Spain",,escalada
19,Complutense Climbing Wall,2.9,"{'type': 'Point', 'coordinates': [-3.7274939, 40.4391927]}","Av. Juan de Herrera, s/n, 28040 Madrid, Spain",,escalada
20,Amadablam Viajes Aventura,4.7,"{'type': 'Point', 'coordinates': [-3.698792, 40.443764]}","Calle de Ponzano, 72, 28003 Madrid, Spain",,escalada
21,Rocódromo pasarela Parque Tierno Galván,4.3,"{'type': 'Point', 'coordinates': [-3.6869512, 40.3937368]}","Unnamed Road,28045, 28045, Madrid, Spain",,escalada
22,Rocódromo Parque María Emperatriz de Austria,4.1,"{'type': 'Point', 'coordinates': [-3.7279892, 40.3755332]}","Calle Carranque, 16, 28025 Madrid, Spain",,escalada
23,Rocódromo de la Cuesta de la Vega,4.6,"{'type': 'Point', 'coordinates': [-3.7167461, 40.4142037]}","Cuesta de La Vega, 28005 Madrid, Spain",,escalada
24,Rocódromo de La Masó,3.0,"{'type': 'Point', 'coordinates': [-3.7145369, 40.48404439999999]}","C/ de La Masó, 80, 28034 Madrid, Spain",,escalada
25,Rimaya Actividades de Montaña,4.7,"{'type': 'Point', 'coordinates': [-3.6246391, 40.4142592]}","Calle Malmoe 73, 28032 Madrid, Spain",,escalada
26,Madrid Mountaineering Federation,3.8,"{'type': 'Point', 'coordinates': [-3.6839605, 40.48604510000001]}","Av. de Salas de los Infantes, 1, 5º, 28034 Madrid, Spain",,escalada
27,Outdoor Sin Límite,4.5,"{'type': 'Point', 'coordinates': [-3.7070943, 40.4097345]}","Calle de la Ribera de Curtidores, 1, 28005 Madrid, Spain",,escalada
28,Madridadventours,5.0,"{'type': 'Point', 'coordinates': [-3.6966769, 40.4023894]}","Calle de Martín Soler, 8, 2F, 28045 Madrid, Spain",,escalada
29,mxcoach,4.8,"{'type': 'Point', 'coordinates': [-3.635328, 40.38046430000001]}","Calle San Toribio, 8, 28031 Madrid, Spain",,escalada
30,Grupo de Montaña CSIC,4.9,"{'type': 'Point', 'coordinates': [-3.6874582, 40.4406438]}","Calle de Serrano, 115 bis, 28006 Madrid, Spain",,escalada
31,Eskalamandra,5.0,"{'type': 'Point', 'coordinates': [-3.6755132, 40.4170457]}","C/ del Alcalde Sainz de Baranda, 19, 7c, 28009 Madrid, Spain",,escalada
32,Rocódromo Pacífico,4.2,"{'type': 'Point', 'coordinates': [-3.6756224, 40.4003961]}","Calle del Dr. Esquerdo, 28007 Madrid, Spain",,escalada
33,Palacio street Boulder,3.5,"{'type': 'Point', 'coordinates': [-3.7161269, 40.4143251]}","28005 Madrid, Spain",,escalada
34,Yurok Adventures // Yurok Climbing Center,4.8,"{'type': 'Point', 'coordinates': [-3.8179502, 40.3337625]}","Calle Aeronáutica, 31, 28923 Alcorcón, Madrid, Spain",,escalada
35,Rocódromo Escalada Soul Climb Leganés,4.6,"{'type': 'Point', 'coordinates': [-3.748153, 40.320028]}","Calle Severo Ochoa, 19, 28914 Leganés, Madrid, Spain",,escalada
36,Climbat X Madrid,4.4,"{'type': 'Point', 'coordinates': [-3.8485639, 40.3393516]}","Calle Oslo, 54, Local 27, 28922 Alcorcón, Madrid, Spain",,escalada
