,name,rating,location,address,price_level,place
0,Escape Room EXIT Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.694899899999999, 40.4308919]}","Calle de Caracas, 15, 28010 Madrid, Spain",,escape room
1,Escape College Madrid / 8 Escape Room en pleno centro,4.4,"{'type': 'Point', 'coordinates': [-3.7083478, 40.4210438]}","Calle de San Bernardo, 5, 28013 Madrid, Spain",,escape room
2,Madrid Room Escape,4.3,"{'type': 'Point', 'coordinates': [-3.69518, 40.4475789]}","Calle de Orense, 4, 28020 Madrid, Spain",,escape room
3,Fox in a Box Madrid Escape Room Madrid Chueca,4.7,"{'type': 'Point', 'coordinates': [-3.697661999999999, 40.42017999999999]}","Calle de las Infantas, 25, 28004 Madrid, Spain",,escape room
4,EXIT / EXIT - Trapped in the Museum - Game Escape Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.703564, 40.424855]}","C/ de Jesús del Valle, 32, 28004 Madrid, Spain",,escape room
5,The Darkest Room - Escape Room Madrid,4.8,"{'type': 'Point', 'coordinates': [-3.7010767, 40.4499108]}","Calle de Palencia, 31, 28020 Madrid, Spain",,escape room
6,MAD Escape Room,4.6,"{'type': 'Point', 'coordinates': [-3.7095519, 40.436325]}","C/ de Donoso Cortés, 36, 28015 Madrid, Spain",,escape room
7,Clue Hunter Madrid - Escape Room,4.7,"{'type': 'Point', 'coordinates': [-3.705657, 40.4112]}","Calle juanelo 13, Local Izdo, 28012 Madrid, Spain",,escape room
8,The Rombo Code® | Escape Room Madrid,4.6,"{'type': 'Point', 'coordinates': [-3.7126084, 40.4353781]}","Calle de Fernández de los Ríos, 70, 28015 Madrid, Spain",,escape room
9,59:59 Escape Room,4.5,"{'type': 'Point', 'coordinates': [-3.6987517, 40.4536953]}","Calle de Fortunata y Jacinta, 5, 28020 Madrid, Spain",,escape room
10,Room Escape - Enigma Madrid Game,4.9,"{'type': 'Point', 'coordinates': [-3.7021883, 40.4584008]}","Calle Ntra. Sra. del Carmen, 7, 28039 Madrid, Spain",,escape room
11,Parapark Primer Escape Room de Madrid,4.5,"{'type': 'Point', 'coordinates': [-3.708483, 40.4239472]}","Calle Manzana, 15, 28015 Madrid, Spain",,escape room
12,Escape Room Komnata Madrid Sol,4.5,"{'type': 'Point', 'coordinates': [-3.701373, 40.415234]}","Calle de Núñez de Arce, 14, Local bajo, 28012 Madrid, Spain",,escape room
13,The Room Escape Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.671949199999999, 40.4442409]}","Calle de Ros de Olano, 9, 28002 Madrid, Spain",,escape room
14,Enigma Exprés - Escape Room (Sede Cuatro Caminos),4.6,"{'type': 'Point', 'coordinates': [-3.7017506, 40.4488164]}","Plaza de la Condesa de Gavia, 3, 28020 Sede, Madrid, Spain",,escape room
