,name,rating,location,address,price_level,place
0,Real Club La Moraleja Campo 2,4.4,"{'type': 'Point', 'coordinates': [-3.626501599999999, 40.5067019]}","Camino Viejo del Cura, 76, 28055 Madrid, Spain",,golf
1,Centro Nacional de Golf,4.3,"{'type': 'Point', 'coordinates': [-3.7371969, 40.4852814]}","Calle del Arroyo del Monte, 5, 28035 Madrid, Spain",,golf
2,Golf Park,4.0,"{'type': 'Point', 'coordinates': [-3.6603233, 40.5172843]}","Av. de Europa, 10, 28108 Alcobendas, Madrid, Spain",,golf
3,GOLF BOOKING MADRID,4.9,"{'type': 'Point', 'coordinates': [-3.7665697, 40.45554550000001]}","Ronda Buganvilla del Rey, 131, 28023 Madrid, Spain",,golf
4,Golf Negralejo - Campo de golf y escuela para aprender a jugar al golf en Madrid,4.4,"{'type': 'Point', 'coordinates': [-3.5151072, 40.4103285]}","Carr. de Mejorada, km 2,5, 28522 Rivas-Vaciamadrid, Madrid, Spain",,golf
5,Nuevo Club De Golf De Madrid,4.0,"{'type': 'Point', 'coordinates': [-3.6998701, 40.4553454]}","C/ de la Coruña, 0, 28020 Madrid, Spain",,golf
6,La Moraleja Golf,4.6,"{'type': 'Point', 'coordinates': [-3.6317014, 40.5032042]}","Calle Jorge Guillén, 6, 28055 Madrid, Spain",,golf
7,Centro Nacional de la RFEG,4.4,"{'type': 'Point', 'coordinates': [-3.7370562, 40.485382]}","Calle del Arroyo del Monte, 5, 28035 Madrid, Spain",,golf
8,Real Spanish Federation of Golf,4.4,"{'type': 'Point', 'coordinates': [-3.7369994, 40.4850232]}","Calle del Arroyo del Monte, 5, 28035 Madrid, Spain",,golf
9,Club de Golf Olivar de la Hinojosa,4.1,"{'type': 'Point', 'coordinates': [-3.6095524, 40.46865080000001]}","Campo De Las Naciones, Vía Dublín, 0 S N, 28001 Madrid, Spain",,golf
10,Golf Madrid,0.0,"{'type': 'Point', 'coordinates': [-3.7282769, 40.4781971]}","Ctra. Del Pardo, Km. 1, 28035 Madrid, Spain",,golf
11,Golf La Moraleja,4.4,"{'type': 'Point', 'coordinates': [-3.6171963, 40.5173214]}","Paseo de la Marquesa Viuda de Aldama, 50, 28109 Alcobendas, Madrid, Spain",,golf
12,Real Club Puerta de Hierro,4.4,"{'type': 'Point', 'coordinates': [-3.7407336, 40.4599189]}","Av. de Miraflores, s/n, 28035 Madrid, Spain",,golf
13,School Golf Federation of Madrid,4.4,"{'type': 'Point', 'coordinates': [-3.751334, 40.464568]}","Carretera de La Coruña, Km 7, Parque Deportivo Puerta de Hierro, 28040 Madrid, Spain",,golf
14,Madrid Golf Federation,4.4,"{'type': 'Point', 'coordinates': [-3.7517275, 40.4657592]}","Carretera del Pardo, Km 1, Parque Deportivo Puerta de Hierro, 28035 Madrid, Spain",,golf
