,name,rating,location,address,price_level,place
0,Madrid Grill - Parrilla - Cerveceria,3.9,"{'type': 'Point', 'coordinates': [-3.707089, 40.417679]}","Calle de San Martín, 3, 28013 Madrid, Spain",,grill
1,Beer & Grill,3.9,"{'type': 'Point', 'coordinates': [-3.7157043, 40.4489066]}","Calle de Almansa, 105, 28040 Madrid, Spain",2.0,grill
2,Burger Grill Madrid,4.3,"{'type': 'Point', 'coordinates': [-3.7079842, 40.41107179999999]}","Calle de Toledo, 65, L 10, 28005 Madrid, Spain",,grill
3,Goiko Grill,4.1,"{'type': 'Point', 'coordinates': [-3.7021417, 40.42938789999999]}","Glorieta de Bilbao, 3, 28004 Madrid, Spain",2.0,grill
4,Goiko Grill,4.2,"{'type': 'Point', 'coordinates': [-3.6985529, 40.4149948]}","Calle del Prado, 15, 28014 Madrid, Spain",2.0,grill
5,SHORTON GRILL,4.2,"{'type': 'Point', 'coordinates': [-3.6980425, 40.4607488]}","Calle de Sor Ángela de la Cruz, 40, 28020 Madrid, Spain",,grill
6,Goiko Grill,4.2,"{'type': 'Point', 'coordinates': [-3.6828556, 40.4231569]}","Calle de Núñez de Balboa, 12, 28001 Madrid, Spain",2.0,grill
7,Goiko,4.3,"{'type': 'Point', 'coordinates': [-3.686675, 40.43767500000001]}","Calle de María de Molina, 20, 28006 Madrid, Spain",2.0,grill
8,Goiko,4.1,"{'type': 'Point', 'coordinates': [-3.6755543, 40.4289354]}","Calle del Conde de Peñalver, 41, 28006 Madrid, Spain",2.0,grill
9,Cokoc Grill,3.7,"{'type': 'Point', 'coordinates': [-3.6743243, 40.423621]}","C/ de Fernán González, 10, 28009 Madrid, Spain",1.0,grill
10,Goiko,4.3,"{'type': 'Point', 'coordinates': [-3.696894, 40.45229450000001]}","Av. del General Perón, 16, 28020 Madrid, Spain",2.0,grill
11,Dogo's Perritos Calientes,4.6,"{'type': 'Point', 'coordinates': [-3.6141177, 40.43942970000001]}","Calle del Canal del Bósforo, 2, Local 1, 28022 Madrid, Spain",,grill
12,Goiko,4.2,"{'type': 'Point', 'coordinates': [-3.7139495, 40.4277238]}","C. de la Princesa, 26, 28008 Madrid, Spain",2.0,grill
13,ESPALLÁ GRILL - Chamberí,4.5,"{'type': 'Point', 'coordinates': [-3.6953832, 40.4415686]}","Calle de Ríos Rosas, 54, Escalera B. Local 5, 28003 Madrid, Spain",,grill
14,Goiko Grill,4.1,"{'type': 'Point', 'coordinates': [-3.6809697, 40.4583641]}","Av. de Alberto de Alcocer, 42, 28016 Madrid, Spain",2.0,grill
15,Goiko,4.2,"{'type': 'Point', 'coordinates': [-3.7031777, 40.44455869999999]}","Calle de Sta Engracia, 157, 28003 Madrid, Spain",2.0,grill
16,SHAO GRILL やきとり日本食レストラン,4.4,"{'type': 'Point', 'coordinates': [-3.7055405, 40.4108437]}","Calle de la Encomienda, 10, 28012 Madrid, Spain",,grill
17,Goiko,4.2,"{'type': 'Point', 'coordinates': [-3.6948381, 40.4360428]}","Calle de Fernández de la Hoz, 33, 28010 Madrid, Spain",2.0,grill
18,Canaima Grill,3.8,"{'type': 'Point', 'coordinates': [-3.686624699999999, 40.35466]}","Calle Delmira Agustini, 4, 28021 Madrid, Spain",,grill
