,name,rating,location,address,price_level,place
0,Honest Greens Castellana,4.4,"{'type': 'Point', 'coordinates': [-3.691945699999999, 40.4499383]}","Paseo de la Castellana, 89, 28046 Madrid, Spain",2.0,healthy
1,Healthy Poke Madrid - Plaza Mayor - Poke a domicilio,4.5,"{'type': 'Point', 'coordinates': [-3.7075835, 40.4138206]}","Calle de Toledo, 26, 28005 Madrid, Spain",1.0,healthy
2,Roots Lamarca,4.2,"{'type': 'Point', 'coordinates': [-3.695643, 40.4245974]}","Calle de Fernando VI, 10, Local 4, 28004 Madrid, Spain",,healthy
3,"Rawcoco Madrid, Salamanca",4.2,"{'type': 'Point', 'coordinates': [-3.6787278, 40.4262056]}","Calle del Gral. Pardiñas, 21, 28001 Madrid, Spain",2.0,healthy
4,Healthy Poke Madrid - General Pardiñas - Poke a domicilio,4.5,"{'type': 'Point', 'coordinates': [-3.6787036, 40.42649660000001]}","Calle del Gral. Pardiñas, 23, 28001 Madrid, Spain",,healthy
5,Ohanasana,4.4,"{'type': 'Point', 'coordinates': [-3.6954851, 40.4230194]}","Calle del Barquillo, 34, 28004 Madrid, Spain",2.0,healthy
6,Honest Greens Hortaleza,4.5,"{'type': 'Point', 'coordinates': [-3.6978312, 40.4248241]}","Calle de Hortaleza, 100, 28004 Madrid, Spain",2.0,healthy
7,Honest Greens Velázquez,4.4,"{'type': 'Point', 'coordinates': [-3.6833106, 40.4374378]}","Calle de Velázquez, 123, 28006 Madrid, Spain",2.0,healthy
8,Batavia Healthy Food,4.3,"{'type': 'Point', 'coordinates': [-3.6987281, 40.428177]}","Calle de Sagasta, 18, 28004 Madrid, Spain",2.0,healthy
9,La Hummuseria,4.6,"{'type': 'Point', 'coordinates': [-3.7000271, 40.4234353]}","Calle de Hernán Cortés, 8, 28004 Madrid, Spain",1.0,healthy
10,Healthy´s,4.9,"{'type': 'Point', 'coordinates': [-3.716280299999999, 40.4388814]}","C. de Hilarión Eslava, 64, 28015 Madrid, Spain",1.0,healthy
11,Healthy Poke - Intercambiador Plaza Castilla - Poke a domicilio,4.7,"{'type': 'Point', 'coordinates': [-3.6888186, 40.4681369]}","En frente de llaollao y Hertz Local : Healthy Poke, Paseo de la Castellana, 193 Superficie del intercambiador, Plaza Castilla, 28046 Madrid, Spain",,healthy
12,Healthy Hunters (Gta Bilbao),4.8,"{'type': 'Point', 'coordinates': [-3.7019997, 40.4287137]}","Glorieta de Bilbao, 7, 28004 Madrid, Spain",,healthy
13,Healthy Hunters,4.9,"{'type': 'Point', 'coordinates': [-3.682568, 40.439811]}","Calle de Velázquez, 136, 28006 Madrid, Spain",1.0,healthy
14,Honest Greens Serrano,4.4,"{'type': 'Point', 'coordinates': [-3.6875762, 40.4285275]}","Calle de Serrano, 41, 28001 Madrid, Spain",2.0,healthy
15,Werfresh Healthy Food,4.7,"{'type': 'Point', 'coordinates': [-3.7019621, 40.446967]}","Calle de Raimundo Fernández Villaverde, 15, 28003 Madrid, Spain",,healthy
16,Naturasi supermarket Bernabéu,4.6,"{'type': 'Point', 'coordinates': [-3.689378999999999, 40.454546]}","Calle del Dr. Fleming, 1, 28036 Madrid, Spain",,healthy
17,Healthy Poke,4.7,"{'type': 'Point', 'coordinates': [-3.7043066, 40.4302651]}","Calle de Sandoval, 12, local 3, 28010 Madrid, Spain",,healthy
18,Cinco Fast & Healthy,4.5,"{'type': 'Point', 'coordinates': [-3.7013149, 40.4268479]}","Calle de Fuencarral, 86, 28004 Madrid, Spain",,healthy
19,A B O L E A,4.2,"{'type': 'Point', 'coordinates': [-3.7041016, 40.4300975]}","Calle de Sandoval, 10, 12, 28010 Madrid, Spain",2.0,healthy
20,Bee Healthy Shop,3.9,"{'type': 'Point', 'coordinates': [-3.6987229, 40.41514249999999]}","Calle de Santa Isabel 5, Planta Baja, 3, 28012 Madrid, Spain",,healthy
21,Flax & Kale Street,4.0,"{'type': 'Point', 'coordinates': [-3.691717999999999, 40.4501669]}","Paseo de la Castellana, 89, 28046 Madrid, Spain",,healthy
