,name,rating,location,address,price_level,place
0,Central Palace Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.7115055, 40.4177101]}","Plaza de Oriente, 2, 28013 Madrid, Spain",,hotel
1,ibis budget Madrid Centro Lavapies,3.9,"{'type': 'Point', 'coordinates': [-3.700754099999999, 40.4079211]}","Calle de Valencia, 8, 10, 28012 Madrid, Spain",,hotel
2,Pestana Plaza Mayor,4.6,"{'type': 'Point', 'coordinates': [-3.7070536, 40.4147668]}","Calle Imperial, 8, 28012 Madrid, Spain",,hotel
3,Four Seasons Hotel Madrid,4.6,"{'type': 'Point', 'coordinates': [-3.700388, 40.4170089]}","Calle de Sevilla, 3, 28014 Madrid, Spain",,hotel
4,Gran Hotel Inglés,4.7,"{'type': 'Point', 'coordinates': [-3.6996684, 40.4158634]}","Calle de Echegaray, 8, 28014 Madrid, Spain",,hotel
5,Hotel Cortezo,4.0,"{'type': 'Point', 'coordinates': [-3.7035722, 40.41367220000001]}","Calle del Dr Cortezo, 3, 28012 Madrid, Spain",,hotel
6,Aloft Madrid Gran Via,4.5,"{'type': 'Point', 'coordinates': [-3.7071418, 40.4203206]}","Calle de Jacometrezo, 4, 28013 Madrid, Spain",,hotel
7,Axel Hotel Madrid,4.5,"{'type': 'Point', 'coordinates': [-3.700578, 40.4131709]}","C. de Atocha, 49, 28012 Madrid, Spain",,hotel
8,"The Westin Palace, Madrid",4.6,"{'type': 'Point', 'coordinates': [-3.695585, 40.4154231]}","Plaza de las Cortes, 7, 28014 Madrid, Spain",,hotel
9,"Mandarin Oriental Ritz, Madrid",4.5,"{'type': 'Point', 'coordinates': [-3.692606699999999, 40.4157577]}","Plaza de la Lealtad, 5, 28014 Madrid, Spain",,hotel
10,Hotel Agumar,3.9,"{'type': 'Point', 'coordinates': [-3.683215999999999, 40.406983]}","Paseo de la R. Cristina, 7, 28014 Madrid, Spain",,hotel
11,B&B Hotel Madrid Centro Plaza Mayor,4.1,"{'type': 'Point', 'coordinates': [-3.705546, 40.414586]}","C. de Atocha, 2, 28012 Madrid, Spain",,hotel
12,Hotel Regina Madrid,4.4,"{'type': 'Point', 'coordinates': [-3.6998284, 40.4179295]}","Calle de Alcalá, 19, 28014 Madrid, Spain",,hotel
13,The Principal Madrid Hotel,4.4,"{'type': 'Point', 'coordinates': [-3.6971975, 40.4192971]}","Calle del Marqués de Valdeiglesias, 1, 28004 Madrid, Spain",,hotel
14,Hotel RIU Plaza España,4.4,"{'type': 'Point', 'coordinates': [-3.7111446, 40.4240261]}","C/ Gran Vía, 84, 28013 Madrid, Spain",,hotel
