,name,rating,location,address,price_level,place
0,Mistura Ice Cream,4.4,"{'type': 'Point', 'coordinates': [-3.7001373, 40.4229735]}","Calle de Augusto Figueroa, 5, 28004 Madrid, Spain",2.0,ice cream
1,Mistura Ice Cream,4.2,"{'type': 'Point', 'coordinates': [-3.678401599999999, 40.4247828]}","Calle de Goya, 50, 28001 Madrid, Spain",2.0,ice cream
2,Mistura Ice Cream,4.4,"{'type': 'Point', 'coordinates': [-3.7084877, 40.4158]}","Calle de Cdad. Rodrigo, 6, 28012 Madrid, Spain",2.0,ice cream
3,Labonata heladeria,4.7,"{'type': 'Point', 'coordinates': [-3.6974523, 40.422681]}","Plaza de Chueca, 8, 28004 Madrid, Spain",1.0,ice cream
4,Amorino,4.4,"{'type': 'Point', 'coordinates': [-3.708414, 40.41611]}","Calle Mayor, 40, 28013 Madrid, Spain",2.0,ice cream
5,Helados Patagonia Artesanal,4.5,"{'type': 'Point', 'coordinates': [-3.7038799, 40.4125643]}","Plaza de Tirso de Molina, 19, 28012 Madrid, Spain",1.0,ice cream
6,"GIOELIA Cremeria, Madrid Atocha",4.7,"{'type': 'Point', 'coordinates': [-3.6999978, 40.4127658]}","C. de Atocha, 42, 28012 Madrid, Spain",1.0,ice cream
7,TÖTO ICE CREAM & COFFEE,4.5,"{'type': 'Point', 'coordinates': [-3.7018976, 40.4251827]}","Corredera Alta de San Pablo, 12, 28004 Madrid, Spain",,ice cream
8,Gelateria La Romana,4.6,"{'type': 'Point', 'coordinates': [-3.686658, 40.4512712]}","Paseo de la Habana, 27, 28036 Madrid, Spain",2.0,ice cream
9,Rocambolesc - Madrid,4.2,"{'type': 'Point', 'coordinates': [-3.6871185, 40.4276329]}","Planta 7 El Corte Inglés, Calle de Serrano, 52, 28001 Madrid, Spain",,ice cream
10,Zúccaru,4.7,"{'type': 'Point', 'coordinates': [-3.7116778, 40.4172333]}","Calle de Vergara, 16, 28013 Madrid, Spain",1.0,ice cream
11,Heladería Palazzo - Italian Ice Cream,4.0,"{'type': 'Point', 'coordinates': [-3.7074789, 40.4215471]}","C/ Gran Vía, 56, 28013 Madrid, Spain",1.0,ice cream
12,La Pecera,4.1,"{'type': 'Point', 'coordinates': [-3.7019191, 40.4267833]}","Calle de Velarde, 2, 28004 Madrid, Spain",2.0,ice cream
13,Amorino,4.1,"{'type': 'Point', 'coordinates': [-3.7051399, 40.4194751]}","Planta 9 Corte Ingles Callao, Plaza del Callao, 2, 28013 Madrid, Spain",2.0,ice cream
14,Mistura Ice Cream,4.4,"{'type': 'Point', 'coordinates': [-3.7026646, 40.4145141]}","Plaza del Ángel, 2, 28012 Madrid, Spain",2.0,ice cream
15,Kalúa Fuencarral 149,4.5,"{'type': 'Point', 'coordinates': [-3.7036902, 40.4315159]}","Calle de Fuencarral, 131, 28010 Madrid, Spain",,ice cream
16,Gelateria La Romana,4.6,"{'type': 'Point', 'coordinates': [-3.7053937, 40.4301801]}","Calle de San Bernardo, 96, 28015 Madrid, Spain",2.0,ice cream
17,Artisan ice cream tutti frutti,4.4,"{'type': 'Point', 'coordinates': [-3.7155473, 40.420653]}","Cuesta de San Vicente, 22, 28008 Madrid, Spain",1.0,ice cream
