,name,rating,location,address,price_level,place
0,Bresca,4.4,"{'type': 'Point', 'coordinates': [-3.699513799999999, 40.4106967]}","Calle de los Tres Peces, 20, 28012 Madrid, Spain",1.0,italian
1,Grazie Mille Kitchen bar,4.1,"{'type': 'Point', 'coordinates': [-3.707516, 40.416106]}","Calle Mayor, 31, 28013 Madrid, Spain",2.0,italian
2,VIRTÙ ITALIANA RISTORANTE,4.6,"{'type': 'Point', 'coordinates': [-3.6678957, 40.5062274]}","Calle San Miguel del Camino, 16, 28050 Madrid, Spain",,italian
3,Ristorante Maruzzella,4.3,"{'type': 'Point', 'coordinates': [-3.6997241, 40.4461776]}","Calle de Raimundo Fernández Villaverde, 28, 28003 Madrid, Spain",2.0,italian
4,Oven Mozzarella Bar,4.4,"{'type': 'Point', 'coordinates': [-3.6977883, 40.4193426]}","C/ Gran Vía, 6, 28013 Madrid, Spain",2.0,italian
5,Fratelli d'Italia,4.5,"{'type': 'Point', 'coordinates': [-3.7000971, 40.4215581]}","Calle de Hortaleza, 28, 28004 Madrid, Spain",2.0,italian
6,Ornella,4.2,"{'type': 'Point', 'coordinates': [-3.6840856, 40.42328639999999]}","Calle de Velázquez, 18, 28001 Madrid, Spain",2.0,italian
7,Trattoria Pulcinella,4.5,"{'type': 'Point', 'coordinates': [-3.6965084, 40.42471]}","Calle de Regueros, 7, 28004 Madrid, Spain",2.0,italian
8,Malafemmena,4.5,"{'type': 'Point', 'coordinates': [-3.6683001, 40.4264227]}","Calle del Dr. Esquerdo, 13, 28028 Madrid, Spain",2.0,italian
9,Pastamore,4.6,"{'type': 'Point', 'coordinates': [-3.6699376, 40.4276831]}","Calle de Alcalá, 191, 28009 Madrid, Spain",,italian
10,Just Italia Barrio Salamanca Madrid,4.2,"{'type': 'Point', 'coordinates': [-3.6807211, 40.4359624]}","Calle de Castelló, 113, 28006 Madrid, Spain",2.0,italian
11,Oven Mozzarella Bar,4.3,"{'type': 'Point', 'coordinates': [-3.7006447, 40.4250403]}","Calle de Fuencarral, 74, 28004 Madrid, Spain",2.0,italian
12,Pasta Mito,4.5,"{'type': 'Point', 'coordinates': [-3.6780327, 40.4574231]}","C. de Bolivia, 9, 28016 Madrid, Spain",,italian
13,Fellina Restaurante,4.3,"{'type': 'Point', 'coordinates': [-3.6942249, 40.430761]}","Calle de Caracas, 21, 28010 Madrid, Spain",2.0,italian
14,Fratelli d'Italia [ Lavapiés ],4.5,"{'type': 'Point', 'coordinates': [-3.701549999999999, 40.4088782]}","Calle del Sombrerete, 1, 28012 Madrid, Spain",1.0,italian
15,Finocchio Ristorante,3.8,"{'type': 'Point', 'coordinates': [-3.7040264, 40.4073404]}","Calle de Embajadores, 64, 28012 Madrid, Spain",,italian
16,Restaurante SottoSopra,4.0,"{'type': 'Point', 'coordinates': [-3.6863029, 40.4233496]}","C. de Puigcerd, 8, 28001 Madrid, Spain",,italian
17,Davita Italian Gastro Market,3.6,"{'type': 'Point', 'coordinates': [-3.6510259, 40.52681330000001]}","Carr. de Fuencarral, 9A, 28108 Alcobendas, Madrid, Spain",,italian
18,Pizza Emporio Preciados,3.3,"{'type': 'Point', 'coordinates': [-3.7067837, 40.41960539999999]}","Calle de Preciados, 33, 28013 Madrid, Spain",2.0,italian
19,Peasy,4.1,"{'type': 'Point', 'coordinates': [-3.6961266, 40.4266992]}","Plaza de Sta. Bárbara, 9, 28004 Madrid, Spain",,italian
20,Cor&Cor,4.1,"{'type': 'Point', 'coordinates': [-3.708335999999999, 40.41792299999999]}","Calle de los Donados, 2, 28013 Madrid, Spain",2.0,italian
21,Bresca,4.3,"{'type': 'Point', 'coordinates': [-3.6997114, 40.4187395]}","Calle de la Virgen de los Peligros, 7, 28013 Madrid, Spain",2.0,italian
22,Pinocchio Sánchez Bustillo,3.9,"{'type': 'Point', 'coordinates': [-3.693619, 40.409021]}","Calle de Sánchez Bustillo, 5, 28012 Madrid, Spain",2.0,italian
23,Oven Mozzarella Bar,4.5,"{'type': 'Point', 'coordinates': [-3.693310699999999, 40.4094376]}","C. de Atocha, 114, 28012 Madrid, Spain",2.0,italian
24,Il Pezzo di Giuseppe,3.9,"{'type': 'Point', 'coordinates': [-3.7003251, 40.4150314]}","Plaza de Sta. Ana, 5, 28012 Madrid, Spain",2.0,italian
25,Al Settimo Cielo Pizza e Pasta,4.2,"{'type': 'Point', 'coordinates': [-3.7102563, 40.41049659999999]}","Calle del Humilladero, 3, 28005 Madrid, Spain",1.0,italian
26,Restaurante italiano Nonsolocaffé,4.2,"{'type': 'Point', 'coordinates': [-3.6957761, 40.4415459]}","Calle de Ríos Rosas, 52, 28003 Madrid, Spain",2.0,italian
27,Matteo Cucina Italiana,4.3,"{'type': 'Point', 'coordinates': [-3.6857583, 40.4275666]}","Cl. de Ayala, 28, 28001 Madrid, Spain",,italian
28,Pizzart Canalejas,4.5,"{'type': 'Point', 'coordinates': [-3.6997915, 40.4170601]}","Calle de Arlabán, 1, 28014 Madrid, Spain",1.0,italian
29,Deli Peppe,4.6,"{'type': 'Point', 'coordinates': [-3.6570165, 40.4331873]}","Frente a los ascensores, Mercado de Las Ventas Calle Virgen de la Alegría, 10, Local 170-180-190, planta 1, 28027 Madrid, Spain",1.0,italian
30,La Bruschetteria de Françoise,4.4,"{'type': 'Point', 'coordinates': [-3.7066177, 40.4339413]}","C. de Fernando el Católico, 6, 28015 Madrid, Spain",1.0,italian
31,Numa Pompilio Restaurante,4.2,"{'type': 'Point', 'coordinates': [-3.684077099999999, 40.4233824]}","Calle de Velázquez, 18, 28001 Madrid, Spain",4.0,italian
32,Ital Panini,2.0,"{'type': 'Point', 'coordinates': [-3.7012448, 40.4153413]}","Calle de Núñez de Arce, 11, 28012 Madrid, Spain",,italian
33,Restaurante La Tagliatella,3.8,"{'type': 'Point', 'coordinates': [-3.6784458, 40.421517]}","Calle de O'Donnell, 8, 28009 Madrid, Spain",2.0,italian
34,"Restaurante La Tagliatella | Orense, Madrid",4.1,"{'type': 'Point', 'coordinates': [-3.6956568, 40.44837]}","Calle de Orense, 11, 28020 Madrid, Spain",2.0,italian
