,name,rating,location,address,price_level,place
0,YOKALOKA,4.5,"{'type': 'Point', 'coordinates': [-3.6986778, 40.4116083]}","DENTRO DEL MERCADO DE ANTÓN MARTÍN, Calle de Santa Isabel, 5, 28012 Madrid, Spain",2.0,japanese
1,Konnichiwa,4.4,"{'type': 'Point', 'coordinates': [-3.7017833, 40.42788609999999]}","Calle de Fuencarral, 98, 28004 Madrid, Spain",2.0,japanese
2,Nigiri Fuencarral,4.0,"{'type': 'Point', 'coordinates': [-3.701579, 40.426644]}","Calle de Fuencarral, 91, 28004 Madrid, Spain",1.0,japanese
3,Ayala Japón Restaurante japonés,4.3,"{'type': 'Point', 'coordinates': [-3.6765164, 40.4275256]}","Cl. de Ayala, 67, 28001 Madrid, Spain",2.0,japanese
4,Hattori Hanzo,3.9,"{'type': 'Point', 'coordinates': [-3.7041425, 40.4209596]}","Calle de Mesonero Romanos, 17, 28004 Madrid, Spain",,japanese
5,Yakiniku Rikyu,4.6,"{'type': 'Point', 'coordinates': [-3.6903491, 40.4281177]}","Paseo de la Castellana, 15, 28046 Madrid, Spain",,japanese
6,Sushi Store Express,4.0,"{'type': 'Point', 'coordinates': [-3.6981238, 40.4192068]}","C/ Gran Vía, 1, 28013 Madrid, Spain",1.0,japanese
7,Okasan,4.4,"{'type': 'Point', 'coordinates': [-3.7053377, 40.4198028]}","El Corte Inglés, Gourmet Experience Gran Vía, Plaza del Callao, 2, 28013 Madrid, Spain",,japanese
8,Restaurante Ichiban,4.2,"{'type': 'Point', 'coordinates': [-3.6847162, 40.4581183]}","Av. de Alberto de Alcocer, 22 bis, 28036 Madrid, Spain",3.0,japanese
9,FUKU restaurante japonés,4.3,"{'type': 'Point', 'coordinates': [-3.6874406, 40.4311194]}","Calle Marqués de Villamejor, 8, 28006 Madrid, Spain",,japanese
10,Chow Chow,4.3,"{'type': 'Point', 'coordinates': [-3.6804104, 40.4519609]}","Av. de Concha Espina, 55, 28016 Madrid, Spain",2.0,japanese
11,Nigiri Plaza de España,4.1,"{'type': 'Point', 'coordinates': [-3.7120238, 40.4244248]}","C. de la Princesa, 1, 28008 Madrid, Spain",,japanese
12,Ikki Restaurant,4.1,"{'type': 'Point', 'coordinates': [-3.7180556, 40.4322222]}","Calle de Benito Gutiérrez, 4, 28008 Madrid, Spain",,japanese
13,Tokyo-ya Japanese Food Store Madrid,4.3,"{'type': 'Point', 'coordinates': [-3.6974034, 40.4546255]}","Av. del Pdte. Carmona, 9, 28020 Madrid, Spain",,japanese
14,Japanese Club,4.2,"{'type': 'Point', 'coordinates': [-3.6830877, 40.4330013]}","Calle de Juan Bravo, 11, 28006 Madrid, Spain",,japanese
15,Miyama,4.6,"{'type': 'Point', 'coordinates': [-3.6896583, 40.4356778]}","Paseo de la Castellana, 45, 28046 Madrid, Spain",3.0,japanese
16,Sublime Tokyo,4.6,"{'type': 'Point', 'coordinates': [-3.7083009, 40.4198225]}","Cuesta de Sto. Domingo, 24, 28013 Madrid, Spain",2.0,japanese
