,name,rating,location,address,price_level,place
0,Action Live Laser Tag (Oficinas),4.9,"{'type': 'Point', 'coordinates': [-3.709718, 40.444814]}","Paseo de S. Fco. de Sales, 41, Local 2, 28003 Madrid, Spain",,laser tag
1,Lasercity - Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.6105399, 40.5409934]}","Av. Einstein, 28703 San Sebastián de los Reyes, Madrid, Spain",,laser tag
2,Madrid Laser Combat,4.7,"{'type': 'Point', 'coordinates': [-3.6564377, 40.5061209]}","Calle Manuel Pombo Angulo, 10, 1-5 5, 28050 Madrid, Spain",,laser tag
3,Combat Arena,4.5,"{'type': 'Point', 'coordinates': [-3.5222779, 40.3285413]}","Poligono Industrial los Areneros, 12, 28521 Rivas-Vaciamadrid, Madrid, Spain",,laser tag
4,Madrid Láser Combat Campo Norte,4.6,"{'type': 'Point', 'coordinates': [-3.5815768, 40.5891414]}","Camino de la Alberca, 20, 28708 San Sebastián de los Reyes, Madrid, Spain",,laser tag
5,Multiaventura Park en Madrid - Las Rozas,4.5,"{'type': 'Point', 'coordinates': [-3.894031499999999, 40.5007512]}","Calle Bruselas, 3, 28232 Las Rozas de Madrid, Madrid, Spain",,laser tag
6,NiceShot,3.7,"{'type': 'Point', 'coordinates': [-3.8750958, 40.3508253]}","Calle Puerto Guadarrama, 36, 28935 Móstoles, Madrid, Spain",,laser tag
7,NonameSport (Oficinas),4.7,"{'type': 'Point', 'coordinates': [-3.7136938, 40.5981545]}","OFICINAS, Av. de los Labradores, 14, 28760 Tres Cantos, Madrid, Spain",,laser tag
8,LASER TAG,0.0,"{'type': 'Point', 'coordinates': [-3.5029019, 40.478221]}","28860 Paracuellos de Jarama, Madrid, Spain",,laser tag
9,RonquidosMadrid,0.0,"{'type': 'Point', 'coordinates': [-3.675235799999999, 40.43315279999999]}","Calle del Conde de Peñalver, 61, 28006 Madrid, Spain",,laser tag
10,Paintball Madrid Action Live,4.9,"{'type': 'Point', 'coordinates': [-3.7113391, 40.4836372]}","Av del Cardenal Herrera Oria, 173, local 1, 28034 Madrid, Spain",,laser tag
11,virtual reality diversion,5.0,"{'type': 'Point', 'coordinates': [-3.7094017, 40.5995715]}","Av. de los Labradores, 9, 11, 28760 Tres Cantos, Madrid, Spain",,laser tag
12,Universal Games Recinto Delta Force,5.0,"{'type': 'Point', 'coordinates': [-3.8596719, 40.4186409]}","Club Las Encinas de Ctra de Pozuelo a Boadilla Km4,600, Madrid Madrid ES, 28669 Boadilla del Monte, Spain",,laser tag
13,Multiaventura Park en Madrid - Parque Europa,4.2,"{'type': 'Point', 'coordinates': [-3.4549893, 40.447292]}","Paseo de los Cipreses, 28850 Torrejón de Ardoz, Madrid, Spain",,laser tag
14,Paintball Park Madrid,3.7,"{'type': 'Point', 'coordinates': [-3.894277, 40.500633]}","Calle Bruselas, 28232 Las Rozas de Madrid, Madrid, Spain",,laser tag
15,Battlefield Laser Combat Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.758751, 40.10839]}","Calle Techoso, 45221 Esquivias, Toledo, Spain",,laser tag
16,Zero Latency,4.6,"{'type': 'Point', 'coordinates': [-3.6693464, 40.4494903]}","Calle de Pradillo, 54, 28002 Madrid, Spain",,laser tag
17,Humor Amarillo Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.7054415, 40.4166846]}","Calle Mayor, 6, 1ºplanta, 28013 Madrid, Spain",,laser tag
18,Instituto Médico Español Estética Avanzada Sl,1.0,"{'type': 'Point', 'coordinates': [-3.681698, 40.424453]}","Calle de Castelló, 23, 28001 Madrid, Spain",,laser tag
19,Clínica Dermatológica Laser - Serafín Fernández-Cañadas,2.7,"{'type': 'Point', 'coordinates': [-3.7065792, 40.4842694]}","Calle de Fermín Caballero, 51, 28034 Madrid, Spain",,laser tag
