,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
0,Bowling Chamartín,4.2,"Estación de Chamartín, s / n, 28036 Madrid, Spain",1.0,bowling,28036,40.4711234,-3.6828952,"{'type': 'Point', 'coordinates': [-3.6828952, 40.4711234]}",15-25€
1,Bowling La Ermita,4.0,"Calle Sepúlveda, 3, 28011 Madrid, Spain",1.0,bowling,28011,40.4070667,-3.7258695,"{'type': 'Point', 'coordinates': [-3.7258695, 40.4070667]}",15-25€
2,Bowling Ilusiona Plenilunio,4.3,"C.C. Plenilunio, Calle de Aracne, 3, 28022 Madrid, Spain",1.0,bowling,28022,40.4475017,-3.586825600000001,"{'type': 'Point', 'coordinates': [-3.586825600000001, 40.4475017]}",1-15€
3,CityPlay,4.1,"Centro Comercial Palacio de Hielo, Calle de Silvano, 77, 28043 Madrid, Spain",1.0,bowling,28043,40.463136,-3.636201,"{'type': 'Point', 'coordinates': [-3.636201, 40.463136]}",15-25€
4,The City,3.9,"Centro de Ocio Heron Diversia, Av. de Bruselas, 23, 28108 Alcobendas, Madrid, Spain",1.0,bowling,28108,40.5310524,-3.6378702,"{'type': 'Point', 'coordinates': [-3.6378702, 40.5310524]}",15-25€
5,Bowling Sur,3.6,"Av. de Gran Bretaña, S / N, 28916 Leganés, Madrid, Spain",1.0,bowling,28916,40.3383091,-3.7335479,"{'type': 'Point', 'coordinates': [-3.7335479, 40.3383091]}",15-25€
6,Ilusiona Diversia,4.2,"Av. de Bruselas, 21, Local 23B, 28108 Alcobendas, Madrid, Spain",1.0,bowling,28108,40.5310091,-3.6376404,"{'type': 'Point', 'coordinates': [-3.6376404, 40.5310091]}",1-15€
7,Bowling Ilusiona Islazul,4.4,"Centro Comercial Isla Azul, Calle Calderilla, 1, 28054 Madrid, Spain",1.0,bowling,28054,40.3630408,-3.7385112,"{'type': 'Point', 'coordinates': [-3.7385112, 40.3630408]}",15-25€
8,La Ermita Centro Comercial. Street Food,3.7,"Paseo de la Ermita del Santo, 48, 28011 Madrid, Spain",1.0,bowling,28011,40.4067649,-3.724733899999999,"{'type': 'Point', 'coordinates': [-3.724733899999999, 40.4067649]}",25-50€
9,"Bolo 11, Tienda de equipación y material para el bowling",4.7,"Calle de Luis Cabrera, 58, 28002 Madrid, Spain",1.0,bowling,28002,40.4430684,-3.6742827,"{'type': 'Point', 'coordinates': [-3.6742827, 40.4430684]}",15-25€
