,name,rating,location,address,price_level,place
0,Takos Al Pastor,4.6,"{'type': 'Point', 'coordinates': [-3.7037278, 40.4189911]}","Calle de la Abada, 2, 28013 Madrid, Spain",1.0,mexican
1,Rosa Negra Madrid,4.3,"{'type': 'Point', 'coordinates': [-3.6990401, 40.4138325]}","Calle del León, 16, 28014 Madrid, Spain",1.0,mexican
2,La Chamana,4.5,"{'type': 'Point', 'coordinates': [-3.706977, 40.419122]}","Calle de las Navas de Tolosa, 7, 28013 Madrid, Spain",2.0,mexican
3,EL REY DE LOS TACOS,4.6,"{'type': 'Point', 'coordinates': [-3.7096198, 40.41941130000001]}","Cuesta de Sto. Domingo, 8, 28013 Madrid, Spain",1.0,mexican
4,Sahuaro Madrid,4.4,"{'type': 'Point', 'coordinates': [-3.7070934, 40.4111597]}","Plaza de Cascorro, 2, 28005 Madrid, Spain",2.0,mexican
5,Restaurante Tepic,4.3,"{'type': 'Point', 'coordinates': [-3.687870899999999, 40.4278335]}","Cl. de Ayala, 14, 28001 Madrid, Spain",2.0,mexican
6,MAWEY Taco Bar - Gran Vía,4.6,"{'type': 'Point', 'coordinates': [-3.708406399999999, 40.4210653]}","Calle de San Bernardo, 5, Local 2, 28013 Madrid, Spain",2.0,mexican
7,Venganza Malinche. Restaurante Mexicano,4.2,"{'type': 'Point', 'coordinates': [-3.7013529, 40.4189893]}","Calle de los Jardines, 5, 28013 Madrid, Spain",2.0,mexican
8,Taqueria El Chaparrito,4.5,"{'type': 'Point', 'coordinates': [-3.71014, 40.41567]}","Calle Mayor, 68, 28013 Madrid, Spain",1.0,mexican
9,OYAMEL,3.7,"{'type': 'Point', 'coordinates': [-3.6740531, 40.4245749]}","Calle de Goya, 82, 28009 Madrid, Spain",2.0,mexican
10,El Rincón de los Cuates,4.4,"{'type': 'Point', 'coordinates': [-3.69861, 40.4217289]}","Calle de San Bartolomé, 7, 28004 Madrid, Spain",2.0,mexican
11,La Venganza de Malinche,4.2,"{'type': 'Point', 'coordinates': [-3.7118469, 40.4251132]}","Calle Duque de Osuna, 6, 28015 Madrid, Spain",2.0,mexican
