,name,rating,location,address,price_level,place
0,Multiaventura Madrid - Empresa de multiaventura,5.0,"{'type': 'Point', 'coordinates': [-3.6254472, 40.3880888]}","Calle Arboleda, Nº18, Bloque 7, 28031 Madrid, Spain",,multiaventura
1,Multiaventura Los Gatos,4.6,"{'type': 'Point', 'coordinates': [-3.6731796, 40.4474835]}","Calle Sánchez Pacheco, 47, 1ª, 28002 Madrid, Spain",,multiaventura
2,Multiaventura Park en Madrid - Las Rozas,4.5,"{'type': 'Point', 'coordinates': [-3.894031499999999, 40.5007512]}","Calle Bruselas, 3, 28232 Las Rozas de Madrid, Madrid, Spain",,multiaventura
3,Multiaventura Park en Madrid - Parque Europa,4.2,"{'type': 'Point', 'coordinates': [-3.4549893, 40.447292]}","Paseo de los Cipreses, 28850 Torrejón de Ardoz, Madrid, Spain",,multiaventura
4,Hipica School Madrid,4.9,"{'type': 'Point', 'coordinates': [-3.819551, 40.37602100000001]}","Venta La Rubia, 28925 Alcorcón, Madrid, Spain",,multiaventura
5,"Alfa sports. Multiaventuras, Esqui, Buceo y más",5.0,"{'type': 'Point', 'coordinates': [-3.625855, 40.4634016]}","Calle de Ramón Power, 64, 28043 Madrid, Spain",,multiaventura
6,Los Aventureros - Multiaventura y Outdoor Training - Madrid,0.0,"{'type': 'Point', 'coordinates': [-3.7096198, 40.4213195]}","Calle de Leganitos, 8, 28030 Madrid, Spain",,multiaventura
7,✅ Multiaventura en Madrid ✅ PlanetSport Multiaventura,4.9,"{'type': 'Point', 'coordinates': [-3.510078, 40.745156]}","Cl de las Huertas, 13, 28160 Talamanca de Jarama, Madrid, Spain",,multiaventura
8,Yumping Adventure S.L,4.0,"{'type': 'Point', 'coordinates': [-3.6677835, 40.5006689]}","Calle Sauceda, 10, 28050 Madrid, Spain",,multiaventura
9,Clamber Park Arroyosur,4.2,"{'type': 'Point', 'coordinates': [-3.773514099999999, 40.2983433]}","Calle Primavera, 1, 28914 Leganés, Madrid, Spain",,multiaventura
10,Bimbache,0.0,"{'type': 'Point', 'coordinates': [-3.7088026, 40.4221841]}","C/ San Bernardo, 8, 28015 Madrid, Spain",,multiaventura
11,Aventura Amazonia,4.6,"{'type': 'Point', 'coordinates': [-4.066684899999999, 40.7700195]}","Parque Recreativo de las Berceas Carretera de las Dehesas M-966, Km 3,9, 28470, Madrid, Spain",,multiaventura
12,Ocius Park - Parque Multiaventura Madrid. Actividades de ocio para adultos y niños. Humor Amarillo. Paintball. Airsoft. Cavernarium,4.4,"{'type': 'Point', 'coordinates': [-3.699919, 40.673496]}","Ocius Park, Carretera Colmenar Viejo-San Agustín de Guadalix, Km 10, 28770 Colmenar Viejo, Madrid, Spain",,multiaventura
13,Amadablam Viajes Aventura,4.7,"{'type': 'Point', 'coordinates': [-3.698792, 40.443764]}","Calle de Ponzano, 72, 28003 Madrid, Spain",,multiaventura
14,BarranquismoMadrid.com,0.0,"{'type': 'Point', 'coordinates': [-3.641595, 40.54485]}","Calle de la Constitución, 93, 28100 Alcobendas, Madrid, Spain",,multiaventura
15,Asdon Aventura,5.0,"{'type': 'Point', 'coordinates': [-3.3538489, 40.4825021]}","Av. Virgen del Val, 1, 28804 Alcalá de Henares, Madrid, Spain",,multiaventura
16,Multiaventuras Moratalaz,4.3,"{'type': 'Point', 'coordinates': [-3.6405556, 40.4016667]}","Cl. de la Hacienda de Pavones, 196, 28030 Madrid, Spain",,multiaventura
17,Urban Camp,3.7,"{'type': 'Point', 'coordinates': [-3.894559399999999, 40.5112156]}","Calle Castillo de Simancas, s/n, 28232 Las Rozas de Madrid, Madrid, Spain",,multiaventura
18,Campamentos Aventurama,4.0,"{'type': 'Point', 'coordinates': [-3.6395798, 40.4678167]}","Calle de Tordomar, 7, 28043 Madrid, Spain",,multiaventura
19,MBD - Team Building Madrid y Actividades Outdoor para empresas,0.0,"{'type': 'Point', 'coordinates': [-3.505212, 40.5010957]}","Av. Juan Pablo II, 60, Bajo C, 28860 Paracuellos de Jarama, Madrid, Spain",,multiaventura
20,Campamentos de verano en Madrid - El Jarama,5.0,"{'type': 'Point', 'coordinates': [-3.663415, 40.4227401]}","Calle de Jorge Juan, 175, 28028 Madrid, Spain",,multiaventura
21,COADECU,3.9,"{'type': 'Point', 'coordinates': [-3.6529041, 40.4379128]}","C/ Virgen De Los Reyes, 5, 28027 Madrid, Spain",,multiaventura
