,name,rating,address,price_level,place,type,subtype,CP,latitude,longitude,geometry,price
1,Juan Carlos I Park,4.6,"Glorieta de Don Juan de Borbon y battemberg s/n, 28042 Madrid, Spain",0.0,park,plan,outdoors,28042,40.4609216,-3.6050151,"{'type': 'Point', 'coordinates': [40.4609216, -3.6050151]}",Free
2,Parque del Oeste,4.5,"Paseo de Moret, 2, 28008 Madrid, Spain",0.0,park,plan,outdoors,28008,40.4307702,-3.7262232,"{'type': 'Point', 'coordinates': [40.4307702, -3.7262232]}",Free
5,Lineal del Manzanares Park,4.6,"Cmo. de Perales, 28053 Madrid, Spain",0.0,park,plan,outdoors,28053,40.3777486,-3.686572,"{'type': 'Point', 'coordinates': [40.3777486, -3.686572]}",Free
6,El Capricho Park,4.6,"Paseo de la Alameda de Osuna, 25, 28042 Madrid, Spain",0.0,park,plan,outdoors,28042,40.4558582,-3.599150899999999,"{'type': 'Point', 'coordinates': [40.4558582, -3.599150899999999]}",Free
7,Rose Garden of El Retiro,4.7,"Paseo de Fernán Núñez, 4, 28009 Madrid, Spain",0.0,park,plan,outdoors,28009,40.41079010000001,-3.6803226,"{'type': 'Point', 'coordinates': [40.41079010000001, -3.6803226]}",Free
9,Ciudad de los Ángeles Park,4.2,"Calle de Anoeta, 14, B, 28041 Madrid, Spain",0.0,park,plan,outdoors,28041,40.3544252,-3.6968863,"{'type': 'Point', 'coordinates': [40.3544252, -3.6968863]}",Free
10,Pabellón de los Jardines de Cecilio Rodríguez,4.7,"Paseo del Uruguay, 5, 28009 Madrid, Spain",0.0,park,plan,outdoors,28009,40.4124509,-3.6777427,"{'type': 'Point', 'coordinates': [40.4124509, -3.6777427]}",Free
11,Parque de Atenas,4.3,"Calle de Segovia, 28, 28005 Madrid, Spain",0.0,park,plan,outdoors,28005,40.4145074,-3.7187979,"{'type': 'Point', 'coordinates': [40.4145074, -3.7187979]}",Free
12,Campo del Moro,4.6,"P.º de la Virgen del Puerto, 1, 28013 Madrid, Spain",0.0,park,plan,outdoors,28013,40.4186984,-3.7179746,"{'type': 'Point', 'coordinates': [40.4186984, -3.7179746]}",Free
13,Quinta de los Molinos park,4.5,"Calle de Alcalá, 527, 28027 Madrid, Spain",0.0,park,plan,outdoors,28027,40.4410264,-3.626970499999999,"{'type': 'Point', 'coordinates': [40.4410264, -3.626970499999999]}",Free
14,Parque de Berlín,4.3,"Av. de Ramón y Cajal, 2, 28016 Madrid, Spain",0.0,park,plan,outdoors,28016,40.4504072,-3.675755799999999,"{'type': 'Point', 'coordinates': [40.4504072, -3.675755799999999]}",Free
15,Quinta de la Fuente del Berro,4.5,"28028 Madrid, Spain",0.0,park,plan,outdoors,28028,40.42357310000001,-3.661065999999999,"{'type': 'Point', 'coordinates': [40.42357310000001, -3.661065999999999]}",Free
16,Parque de Santander,4.4,"Paseo de S. Fco. de Sales, 39, 28003 Madrid, Spain",0.0,park,plan,outdoors,28003,40.4436122,-3.7097065,"{'type': 'Point', 'coordinates': [40.4436122, -3.7097065]}",Free
17,Dehesa de la Villa,4.6,"Carr. de la Dehesa de la Villa, 28035 Madrid, Spain",0.0,park,plan,outdoors,28035,40.4596262,-3.7194658,"{'type': 'Point', 'coordinates': [40.4596262, -3.7194658]}",Free
18,Sabatini Gardens,4.5,"Calle de Bailén, 2, 28013 Madrid, Spain",0.0,park,plan,outdoors,28013,40.42033199999999,-3.7140039,"{'type': 'Point', 'coordinates': [40.42033199999999, -3.7140039]}",Free
19,Casa de Campo,4.5,"Paseo de la Puerta del Ángel, 1, 28011 Madrid, Spain",0.0,park,plan,outdoors,28011,40.419748,-3.7489783,"{'type': 'Point', 'coordinates': [40.419748, -3.7489783]}",Free
20,Parque del Cerro del Tío Pío,4.6,"Calle de Benjamín Palencia, 2, 28038 Madrid, Spain",0.0,park,plan,outdoors,28038,40.3962023,-3.655068,"{'type': 'Point', 'coordinates': [40.3962023, -3.655068]}",Free
21,Bosque del Recuerdo,4.6,"Calle de Alfonso XII, 48, 28014 Madrid, Spain",0.0,park,plan,outdoors,28014,40.4120836,-3.6871405,"{'type': 'Point', 'coordinates': [40.4120836, -3.6871405]}",Free
