,name,rating,location,address,price_level,place
0,Great Paintball Madrid Offices,4.9,"{'type': 'Point', 'coordinates': [-3.696835, 40.453741]}","Av. del Pdte. Carmona, 8, 2º izquierda, 28020 Madrid, Spain",,paintball
1,Paintball Madrid Action Live,4.9,"{'type': 'Point', 'coordinates': [-3.7113391, 40.4836372]}","Av del Cardenal Herrera Oria, 173, local 1, 28034 Madrid, Spain",,paintball
2,paintball en madrid,5.0,"{'type': 'Point', 'coordinates': [-3.6389598, 40.3898576]}","Calle de Los Andaluces, 18, 28038 Madrid, Spain",,paintball
3,Evasion Paintball Madrid,4.2,"{'type': 'Point', 'coordinates': [-3.696602, 40.4285404]}","Calle de Sta Engracia, 1, 28010 Madrid, Spain",,paintball
4,Pro Paintball Madrid,4.5,"{'type': 'Point', 'coordinates': [-3.706713, 40.485834]}","28034 Madrid, Spain",,paintball
5,Megafield Paintball Madrid - Offices,4.6,"{'type': 'Point', 'coordinates': [-3.6962013, 40.4611515]}","Calle de la Infanta Mercedes, 73, 28020 Madrid, Spain",,paintball
6,Paintball Pro,3.3,"{'type': 'Point', 'coordinates': [-3.6620268, 40.4684238]}","C/ Añastro, 25, 28033 Madrid, Spain",,paintball
7,Megafield Paintball Madrid,4.5,"{'type': 'Point', 'coordinates': [-3.706544, 40.334334]}","C/ San Erasmo 28 nave 2, (Pol. Ind. la Resina), 28021 Madrid, Spain",,paintball
8,Madrid paintball fields,3.3,"{'type': 'Point', 'coordinates': [-3.6661657, 40.4011779]}","Calle de los Hermanos Carpi, 1, 28038 Madrid, Spain",,paintball
9,Paintball Las Vegas,2.8,"{'type': 'Point', 'coordinates': [-3.6948881, 40.4536005]}","Calle de Orense, 1, 28020 Madrid, Spain",,paintball
10,Paintball A LA PAR,0.0,"{'type': 'Point', 'coordinates': [-3.7073005, 40.5017021]}","Calle del Monasterio de Las Huelgas, 15, 28049 Madrid, Spain",,paintball
11,Paintball Park Store SL (Oficinas),3.6,"{'type': 'Point', 'coordinates': [-3.707439299999999, 40.4574354]}","Calle Ambrosio Vallejo, 14, 28039 Madrid, Spain",,paintball
12,masquepaintball,3.5,"{'type': 'Point', 'coordinates': [-3.678289, 40.437085]}","Calle de María de Molina, 66, 28006 Madrid, Spain",,paintball
13,dexconecting,0.0,"{'type': 'Point', 'coordinates': [-3.7052391, 40.4160329]}","MADRID, 28080 Madrid, Spain",,paintball
14,Asociación Europea de Paintball AEDP,2.0,"{'type': 'Point', 'coordinates': [-3.6322496, 40.4805123]}","Camino de Montoro, 28050 Madrid, Spain",,paintball
15,Planet Reball,4.3,"{'type': 'Point', 'coordinates': [-3.6261873, 40.5456849]}","Calle de Pedro Colmenar, 9, 28703 San Sebastián de los Reyes, Madrid, Spain",,paintball
16,www.paintballexcape.com,0.0,"{'type': 'Point', 'coordinates': [-3.6986544, 40.4880409]}","C. de Alfredo Marqueríe, 11, 28034 Madrid, Spain",,paintball
17,Paintball Park Madrid,3.7,"{'type': 'Point', 'coordinates': [-3.894277, 40.500633]}","Calle Bruselas, 28232 Las Rozas de Madrid, Madrid, Spain",,paintball
18,Adrenalicia Paintball Store - Algete - Madrid,4.8,"{'type': 'Point', 'coordinates': [-3.5204379, 40.595048]}","Calle del Río Tormes, 10, 28110 Algete, Madrid, Spain",,paintball
19,PaintBall Madrid,3.9,"{'type': 'Point', 'coordinates': [-3.8828805, 40.4739431]}","Calle Granja del Conde, 28220 Madrid, Spain",,paintball
20,"PaintCombat Paintball, Paintball Children",4.4,"{'type': 'Point', 'coordinates': [-3.4512688, 40.4310661]}","M-206, km 7 salida vía de servicio, 28830 Torrejón de Ardoz, Madrid, Spain",,paintball
21,Apaintballclas,0.0,"{'type': 'Point', 'coordinates': [-3.6962211, 40.4446416]}","C. de María Panés, 13, 28003 Madrid, Spain",,paintball
22,TACTICAL PAINTBALL MADRID HAVE A MISSION,4.4,"{'type': 'Point', 'coordinates': [-3.859945, 40.418838]}","Club Las Encinas de Crta. de Pozuelo a Boadilla, Km 4,600, 28669 Boadilla del Monte, Madrid, Spain",,paintball
23,Tematic Paintball - paintball field - Algete - Madrid,4.2,"{'type': 'Point', 'coordinates': [-3.4857034, 40.6095918]}","Km 2.8, M-123, 28110 Algete, Madrid, Spain",,paintball
24,Paintball Madrid. Boadilla.,4.3,"{'type': 'Point', 'coordinates': [-3.981176, 40.3715585]}","M-501 salida 17 madrid, 28600 Boadilla del Monte, Madrid, Spain",,paintball
25,Ocius Park - Parque Multiaventura Madrid. Actividades de ocio para adultos y niños. Humor Amarillo. Paintball. Airsoft. Cavernarium,4.4,"{'type': 'Point', 'coordinates': [-3.699919, 40.673496]}","Ocius Park, Carretera Colmenar Viejo-San Agustín de Guadalix, Km 10, 28770 Colmenar Viejo, Madrid, Spain",,paintball
26,NonameSport (Oficinas),4.7,"{'type': 'Point', 'coordinates': [-3.7136938, 40.5981545]}","OFICINAS, Av. de los Labradores, 14, 28760 Tres Cantos, Madrid, Spain",,paintball
27,Paintball Park Store S L,0.0,"{'type': 'Point', 'coordinates': [-3.8940933, 40.5008254]}","Calle Bruselas, 3, 28232 Las Rozas de Madrid, Madrid, Spain",,paintball
28,GREAT Paintball Madrid,4.9,"{'type': 'Point', 'coordinates': [-4.114091999999999, 40.616139]}","Calle Barrasqui s/n, en el kilómetro 5 de la, M-600, 28200 San Lorenzo de El Escorial, Madrid, Spain",,paintball
29,Quad Madrid,4.9,"{'type': 'Point', 'coordinates': [-3.6392454, 40.3901514]}","C/ Andaluces, 18, 28038 Madrid, Spain",,paintball
30,Action Live - Paintball Madrid y Humor amarillo,4.6,"{'type': 'Point', 'coordinates': [-3.9847149, 40.2794151]}","Camino de la Barranca de, Plaza de Doña Luna, 28600, Madrid, Spain",,paintball
31,LiveGames,3.3,"{'type': 'Point', 'coordinates': [-3.613429, 40.565964]}","Merce rodoreda Nº2 portal D, 4º D, 28702 San Sebastián de los Reyes, Spain",,paintball
32,Action Live Laser Tag (Oficinas),4.9,"{'type': 'Point', 'coordinates': [-3.709718, 40.444814]}","Paseo de S. Fco. de Sales, 41, Local 2, 28003 Madrid, Spain",,paintball
33,Madrid Laser Combat,4.7,"{'type': 'Point', 'coordinates': [-3.6564377, 40.5061209]}","Calle Manuel Pombo Angulo, 10, 1-5 5, 28050 Madrid, Spain",,paintball
34,Paintball Madrid Desafio,4.9,"{'type': 'Point', 'coordinates': [-3.9879263, 40.5088219]}","Camino de Cerro Tablado, S/N, 28229, Madrid, Spain",,paintball
35,Paintball,4.3,"{'type': 'Point', 'coordinates': [-3.9131916, 40.4668558]}","Poligono Diseminados, 30, 28222, Madrid, Spain",,paintball
