,name,rating,location,address,price_level,place
0,Laverónica,4.3,"{'type': 'Point', 'coordinates': [-3.6952581, 40.4125629]}","C. de Moratín, 38, 28014 Madrid, Spain",2.0,pet friendly restaurant
1,El perro y la galleta,4.2,"{'type': 'Point', 'coordinates': [-3.687363, 40.420512]}","Calle de Claudio Coello, 1, 28009 Madrid, Spain",2.0,pet friendly restaurant
2,Bahiana Club,4.2,"{'type': 'Point', 'coordinates': [-3.7111134, 40.4139849]}","Calle del Conde, 4, 28005 Madrid, Spain",2.0,pet friendly restaurant
3,Plenti (location in 2018),0.0,"{'type': 'Point', 'coordinates': [-3.6965986, 40.4121143]}","Costanilla de los Desamparados, 13, 28014 Madrid, Spain",,pet friendly restaurant
4,El Columpio,4.1,"{'type': 'Point', 'coordinates': [-3.6943857, 40.4305901]}","Calle de Caracas, 10, 28010 Madrid, Spain",2.0,pet friendly restaurant
5,Verbena Bar,4.1,"{'type': 'Point', 'coordinates': [-3.7034948, 40.4269028]}","Calle de Velarde, 24, 28004 Madrid, Spain",1.0,pet friendly restaurant
6,CafeeKe - Cervezas y tapas de Bélgica,3.9,"{'type': 'Point', 'coordinates': [-3.707978, 40.414721]}","Calle de Cuchilleros, 3, 28005 Madrid, Spain",,pet friendly restaurant
7,Burnout,4.5,"{'type': 'Point', 'coordinates': [-3.7020884, 40.420808]}","Calle de Valverde, 6, 28004 Madrid, Spain",2.0,pet friendly restaurant
8,Frida,3.8,"{'type': 'Point', 'coordinates': [-3.6970391, 40.4239997]}","Calle San Gregorio, 8, 28004 Madrid, Spain",2.0,pet friendly restaurant
9,El Perro y la Galleta Malasaña,4.2,"{'type': 'Point', 'coordinates': [-3.703637999999999, 40.42268199999999]}","Corredera Baja de San Pablo, 31, 28004 Madrid, Spain",2.0,pet friendly restaurant
10,PALOSANTO,3.6,"{'type': 'Point', 'coordinates': [-3.6973953, 40.4228311]}","Plaza de Chueca, 8, 28004 Madrid, Spain",2.0,pet friendly restaurant
11,Arrocería El Trato Gastrobar,4.8,"{'type': 'Point', 'coordinates': [-3.708043, 40.4338539]}","C. de Fernando el Católico, 15, 28015 Madrid, Spain",2.0,pet friendly restaurant
12,Burger Shack,4.5,"{'type': 'Point', 'coordinates': [-3.6964602, 40.4219306]}","Calle de Augusto Figueroa, 32, 28004 Madrid, Spain",1.0,pet friendly restaurant
13,Sahuaro Madrid,4.4,"{'type': 'Point', 'coordinates': [-3.7070934, 40.4111597]}","Plaza de Cascorro, 2, 28005 Madrid, Spain",2.0,pet friendly restaurant
14,CAFETERIA C&C (petfriendly),4.6,"{'type': 'Point', 'coordinates': [-3.6587974, 40.4339656]}","Calle de la Virgen de la Roca, 1, 28027 Madrid, Spain",,pet friendly restaurant
