,name,rating,location,address,place
0,Pizzería Vesuvio Hortaleza,4.6,"{'type': 'Point', 'coordinates': [-3.7007968, 40.4206134]}","Calle de Hortaleza, 4, 28004 Madrid, Spain",pizza
1,La Pizzateca,4.5,"{'type': 'Point', 'coordinates': [-3.6992852, 40.4127456]}","Calle del León, 35, 28014 Madrid, Spain",pizza
2,Kilómetros de Pizza,4.1,"{'type': 'Point', 'coordinates': [-3.6383854, 40.5303058]}","Herón Diversia, Av. de Bruselas, 21, 28108 Alcobendas, Madrid, Spain",pizza
3,El Horno Azul - Pizzería Madrid Centro,4.7,"{'type': 'Point', 'coordinates': [-3.7100323, 40.421651]}","Calle de Leganitos, 14, 28013 Madrid, Spain",pizza
4,Picsa,4.3,"{'type': 'Point', 'coordinates': [-3.698728, 40.4441923]}","Calle de Ponzano, 76, 28003 Madrid, Spain",pizza
5,Pizzeria Fratelli Madrid,4.6,"{'type': 'Point', 'coordinates': [-3.7604067, 40.3895352]}","Calle Quero, 83, 28024 Madrid, Spain",pizza
6,Pizza Napoli,4.5,"{'type': 'Point', 'coordinates': [-3.6745112, 40.4485859]}","Calle de Pradillo, 14, 28002 Madrid, Spain",pizza
7,NAP Neapolitan Authentic Pizza,4.4,"{'type': 'Point', 'coordinates': [-3.707496099999999, 40.425422]}","Calle de San Bernardo, 51, 28015 Madrid, Spain",pizza
8,Ópera Pizza,4.1,"{'type': 'Point', 'coordinates': [-3.7089286, 40.4176803]}","Calle del Arenal, 23, 28013 Madrid, Spain",pizza
9,Pizza Napoli,4.4,"{'type': 'Point', 'coordinates': [-3.65467, 40.50736]}","Calle Manuel Pombo Angulo, 24, 28050 Madrid, Spain",pizza
10,Pizza 3Cruces,4.4,"{'type': 'Point', 'coordinates': [-3.7034078, 40.4192556]}","Calle de la Salud, 013, 28013 Madrid, Spain",pizza
11,Piccola Napoli,4.7,"{'type': 'Point', 'coordinates': [-3.7013975, 40.4498187]}","Calle de Palencia, 29, 28020 Madrid, Spain",pizza
12,Fratelli Figurato - Pizzeria,4.6,"{'type': 'Point', 'coordinates': [-3.697848, 40.438911]}","Calle de Alonso Cano, 37, 28003 Madrid, Spain",pizza
13,Pizzaiolo,4.5,"{'type': 'Point', 'coordinates': [-3.6985486, 40.42372340000001]}","Calle de Hortaleza, 84, 28004 Madrid, Spain",pizza
14,Kilómetros de Pizza,3.9,"{'type': 'Point', 'coordinates': [-3.6681238, 40.5078812]}","Calle de Palas de Rey, s/n, 28050 Madrid, Spain",pizza
15,Kilómetros de Pizza,3.9,"{'type': 'Point', 'coordinates': [-3.6932136, 40.4541075]}","Av. de Brasil, 6, 28020 Madrid, Spain",pizza
16,Allô Pizza,4.0,"{'type': 'Point', 'coordinates': [-3.6881559, 40.4598431]}","Calle del Dr. Fleming, 23, 28036 Madrid, Spain",pizza
17,Mastropiero,4.4,"{'type': 'Point', 'coordinates': [-3.7043281, 40.4258642]}","Calle de San Vicente Ferrer, 36, 28004 Madrid, Spain",pizza
18,Kilómetros de Pizza,3.9,"{'type': 'Point', 'coordinates': [-3.6934716, 40.4292958]}","Calle de Zurbano, 26, 28010 Madrid, Spain",pizza
