,name,rating,location,address,place
0,James Joyce Irish Pub Madrid,4.3,"{'type': 'Point', 'coordinates': [-3.691314, 40.419919]}","Calle de Alcalá, 59, 28014 Madrid, Spain",pub
1,The Cavern Irish Pub,4.2,"{'type': 'Point', 'coordinates': [-3.7097757, 40.4160916]}","Calle de Santiago, 1, 28013 Madrid, Spain",pub
2,Covent Garden English Pub,4.3,"{'type': 'Point', 'coordinates': [-3.688023, 40.46095]}","Calle del Dr. Fleming, 31, 28036 Madrid, Spain",pub
3,La Fontana de Oro,4.1,"{'type': 'Point', 'coordinates': [-3.701585, 40.41640100000001]}","Calle de la Victoria, 1, 28012 Madrid, Spain",pub
4,Commo,3.7,"{'type': 'Point', 'coordinates': [-3.702391, 40.41526229999999]}","Calle de Espoz y Mina, 22, 28012 Madrid, Spain",pub
5,Collin's Irish Tavern,4.5,"{'type': 'Point', 'coordinates': [-3.6975692, 40.4279127]}","28004, Calle de Sagasta, 26, 28004 Madrid, Spain",pub
6,Cervecería Erte,4.5,"{'type': 'Point', 'coordinates': [-3.7075001, 40.41929409999999]}","Calle de las Veneras, 1, 28013 Madrid, Spain",pub
7,ChiriKa Lounge Madrid,4.2,"{'type': 'Point', 'coordinates': [-3.695319399999999, 40.4253412]}","Calle de Sta. Teresa, 14, 28004 Madrid, Spain",pub
8,Pub Shark,4.4,"{'type': 'Point', 'coordinates': [-3.6621067, 40.4084733]}","Calle del Corregidor Diego de Valderrábano, 1, 28030 Madrid, Spain",pub
9,Dubliners,3.6,"{'type': 'Point', 'coordinates': [-3.7022601, 40.41584020000001]}","Calle de Espoz y Mina, 7, 28012 Madrid, Spain",pub
10,O'Connell St,3.7,"{'type': 'Point', 'coordinates': [-3.7022611, 40.4157575]}","Calle de Espoz y Mina, 7, 28012 Madrid, Spain",pub
11,El Imperfecto,4.2,"{'type': 'Point', 'coordinates': [-3.6997222, 40.4136833]}","Plaza de Matute, 2, 28012 Madrid, Spain",pub
12,The Irish Rover,4.3,"{'type': 'Point', 'coordinates': [-3.6939592, 40.4547278]}","Av. de Brasil, 7, 28020 Madrid, Spain",pub
13,El Parnasillo del Príncipe,4.2,"{'type': 'Point', 'coordinates': [-3.6999834, 40.4141256]}","C. del Príncipe, 33, 28012 Madrid, Spain",pub
14,Triskel tavern,4.3,"{'type': 'Point', 'coordinates': [-3.7018412, 40.4254729]}","Corredera Alta de San Pablo, 20, 28004 Madrid, Spain",pub
15,Baton Rouge Cocktail Bar,4.5,"{'type': 'Point', 'coordinates': [-3.7017675, 40.4158661]}","Calle de la Victoria, 8, 28012 Madrid, Spain",pub
16,Monnalisa Madrid,3.5,"{'type': 'Point', 'coordinates': [-3.7012945, 40.4154856]}","Calle de Núñez de Arce, 8, 28012 Madrid, Spain",pub
17,Klimt,4.0,"{'type': 'Point', 'coordinates': [-3.6915535, 40.4614421]}","Calle del Poeta Joan Maragall, 48, 28020 Madrid, Spain",pub
18,Pub-Crawl Party Area Madrid,4.3,"{'type': 'Point', 'coordinates': [-3.702633, 40.4154953]}","Espit Chupitos, Calle de Espoz y Mina, 22, 28012 Madrid, Spain",pub
19,Enbabia Infused,4.6,"{'type': 'Point', 'coordinates': [-3.7012258, 40.4154748]}","Calle de Núñez de Arce, 9, 28012 Madrid, Spain",pub
20,Paddy's Irish Pub,4.3,"{'type': 'Point', 'coordinates': [-3.678038, 40.451949]}","Av. de Concha Espina, 69, 28016 Madrid, Spain",pub
21,Jazz Bar,4.5,"{'type': 'Point', 'coordinates': [-3.6958959, 40.4125735]}","C. de Moratín, 35, 28014 Madrid, Spain",pub
22,La Vía Láctea,4.2,"{'type': 'Point', 'coordinates': [-3.702931, 40.4268844]}","Calle de Velarde, 18, 28004 Madrid, Spain",pub
23,Baker Street,4.3,"{'type': 'Point', 'coordinates': [-3.693445, 40.430404]}","Calle de Zurbano, 34, 28010 Madrid, Spain",pub
24,Finnegans,4.0,"{'type': 'Point', 'coordinates': [-3.6948478, 40.4238376]}","Plaza de las Salesas, 9, 28004 Madrid, Spain",pub
25,Areia,4.4,"{'type': 'Point', 'coordinates': [-3.6980344, 40.4245406]}","Calle de Hortaleza, 92, 28004 Madrid, Spain",pub
26,Cien por Cien Madrid,4.2,"{'type': 'Point', 'coordinates': [-3.700825, 40.4378861]}","Calle de la Santísima Trinidad, 30, 28010 Madrid, Spain",pub
