,name,rating,location,address,price_level,place
0,IGO RAMEN,4.4,"{'type': 'Point', 'coordinates': [-3.705492599999999, 40.4210921]}","Spain, Madrid, Calle de Tudescos, 邮政编码: 28004",2.0,ramen
1,Ramen bar,4.6,"{'type': 'Point', 'coordinates': [-3.6944375, 40.3991003]}","Calle del Gral. Palanca, 42, 28045 Madrid, Spain",,ramen
2,Konnichiwa,4.4,"{'type': 'Point', 'coordinates': [-3.7017833, 40.42788609999999]}","Calle de Fuencarral, 98, 28004 Madrid, Spain",2.0,ramen
3,UDON Sol,4.0,"{'type': 'Point', 'coordinates': [-3.7026501, 40.4176738]}","Calle de la Montera, 12, 28013 Madrid, Spain",2.0,ramen
4,YOKALOKA,4.5,"{'type': 'Point', 'coordinates': [-3.6986778, 40.4116083]}","DENTRO DEL MERCADO DE ANTÓN MARTÍN, Calle de Santa Isabel, 5, 28012 Madrid, Spain",2.0,ramen
5,Ramen Kagura Ópera,4.6,"{'type': 'Point', 'coordinates': [-3.708749, 40.416807]}","Calle de las Fuentes, 1, 28013 Madrid, Spain",1.0,ramen
6,Chuka Ramen Bar,4.5,"{'type': 'Point', 'coordinates': [-3.6994458, 40.4157318]}","Calle de Echegaray, 9, 28014 Madrid, Spain",2.0,ramen
7,Ninja Ramen,4.3,"{'type': 'Point', 'coordinates': [-3.7009895, 40.4265231]}","C. de Barceló, 1, 28004 Madrid, Spain",2.0,ramen
8,Ran Ran Tei,4.8,"{'type': 'Point', 'coordinates': [-3.6946025, 40.451684]}","Calle de Orense, 26, posterior, 28020 Madrid, Spain",1.0,ramen
9,UDON Chueca,3.9,"{'type': 'Point', 'coordinates': [-3.6993395, 40.4201883]}","Calle del Clavel, 6, 28004 Madrid, Spain",2.0,ramen
10,Ramen bar & restaurante (chiwexuan),4.1,"{'type': 'Point', 'coordinates': [-3.6788867, 40.5107323]}","Calle Federico Mompou, 8, 28050 Madrid, Spain",,ramen
11,UDON,4.0,"{'type': 'Point', 'coordinates': [-3.707726499999999, 40.4797156]}","Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",2.0,ramen
12,Oishii Sushi & Ramen,4.0,"{'type': 'Point', 'coordinates': [-3.7055439, 40.4208635]}","C de Miguel Moya, 6, 28004 Madrid, Spain",2.0,ramen
13,Ramen Shifu,4.3,"{'type': 'Point', 'coordinates': [-3.7075995, 40.4139221]}","Calle de Toledo, 24, 28005 Madrid, Spain",1.0,ramen
14,Nigiri Fuencarral,4.0,"{'type': 'Point', 'coordinates': [-3.701579, 40.426644]}","Calle de Fuencarral, 91, 28004 Madrid, Spain",1.0,ramen
15,Hattori Hanzo,3.9,"{'type': 'Point', 'coordinates': [-3.7041425, 40.4209596]}","Calle de Mesonero Romanos, 17, 28004 Madrid, Spain",,ramen
16,Ramen Shifu,4.2,"{'type': 'Point', 'coordinates': [-3.6767683, 40.42752979999999]}","Cl. de Ayala, 65, 28001 Madrid, Spain",,ramen
17,Ramen Shifu,4.2,"{'type': 'Point', 'coordinates': [-3.693085699999999, 40.4368469]}","Calle de Zurbano, 67, 28010 Madrid, Spain",1.0,ramen
18,Ramen Shifu - Chueca,4.7,"{'type': 'Point', 'coordinates': [-3.700000999999999, 40.4207586]}","Calle de las Infantas, 14, 28004 Madrid, Spain",,ramen
19,naniwa,4.2,"{'type': 'Point', 'coordinates': [-3.71439, 40.43212800000001]}","C. de Andrés Mellado, 18, 28015 Madrid, Spain",1.0,ramen
20,Kuraya,4.4,"{'type': 'Point', 'coordinates': [-3.7087385, 40.4166538]}","Plaza de Herradores, 7, 28013 Madrid, Spain",,ramen
21,Yatai Market,4.5,"{'type': 'Point', 'coordinates': [-3.7039463, 40.4130309]}","Calle del Dr Cortezo, 10, 28012 Madrid, Spain",2.0,ramen
22,Igo Ramen Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.7073242, 40.4190812]}","Calle de las Navas de Tolosa, 9, 28013 Madrid, Spain",,ramen
23,Sky Sushi & Ramen,4.3,"{'type': 'Point', 'coordinates': [-3.690109, 40.4219505]}","Calle de Recoletos, 11, 28001 Madrid, Spain",2.0,ramen
24,Morikaen,4.4,"{'type': 'Point', 'coordinates': [-3.7168926, 40.4336735]}","C. de Hilarión Eslava, 17, 28015 Madrid, Spain",1.0,ramen
25,Ramen Kagura Atocha,4.6,"{'type': 'Point', 'coordinates': [-3.6973139, 40.4052477]}","Cl. de José Antonio de Armona, 12, 28012 Madrid, Spain",,ramen
26,Yan Ken Pon - Sushi Ramen y Librería,4.4,"{'type': 'Point', 'coordinates': [-3.7070697, 40.4109037]}","Plaza de Cascorro, 3, 28012 Madrid, Spain",2.0,ramen
27,Livin'Japan,4.6,"{'type': 'Point', 'coordinates': [-3.6994991, 40.41059569999999]}","Calle de la Torrecilla del Leal, 20, 28012 Madrid, Spain",1.0,ramen
28,Ramen Kagura Chueca,4.5,"{'type': 'Point', 'coordinates': [-3.6993336, 40.4216492]}","Calle de San Marcos, 8, 28004 Madrid, Spain",,ramen
