,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
0,YOKALOKA,4.5,"DENTRO DEL MERCADO DE ANTÓN MARTÍN, Calle de Santa Isabel, 5, 28012 Madrid, Spain",2.0,japanese,28012,40.4116083,-3.6986778,"{'type': 'Point', 'coordinates': [40.4116083, -3.6986778]}",15-25€
1,Konnichiwa,4.4,"Calle de Fuencarral, 98, 28004 Madrid, Spain",2.0,japanese,28004,40.42788609999999,-3.7017833,"{'type': 'Point', 'coordinates': [40.42788609999999, -3.7017833]}",15-25€
2,Nigiri Fuencarral,4.0,"Calle de Fuencarral, 91, 28004 Madrid, Spain",1.0,japanese,28004,40.426644,-3.701579,"{'type': 'Point', 'coordinates': [40.426644, -3.701579]}",1-15€
3,Ayala Japón Restaurante japonés,4.3,"Cl. de Ayala, 67, 28001 Madrid, Spain",2.0,japanese,28001,40.4275256,-3.6765164,"{'type': 'Point', 'coordinates': [40.4275256, -3.6765164]}",15-25€
4,Hattori Hanzo,3.9,"Calle de Mesonero Romanos, 17, 28004 Madrid, Spain",2.0,japanese,28004,40.4209596,-3.7041425,"{'type': 'Point', 'coordinates': [40.4209596, -3.7041425]}",15-25€
5,Yakiniku Rikyu,4.6,"Paseo de la Castellana, 15, 28046 Madrid, Spain",2.0,japanese,28046,40.4281177,-3.6903491,"{'type': 'Point', 'coordinates': [40.4281177, -3.6903491]}",15-25€
6,Sushi Store Express,4.0,"C/ Gran Vía, 1, 28013 Madrid, Spain",1.0,japanese,28013,40.4192068,-3.6981238,"{'type': 'Point', 'coordinates': [40.4192068, -3.6981238]}",1-15€
7,Okasan,4.4,"El Corte Inglés, Gourmet Experience Gran Vía, Plaza del Callao, 2, 28013 Madrid, Spain",2.0,japanese,28013,40.4198028,-3.7053377,"{'type': 'Point', 'coordinates': [40.4198028, -3.7053377]}",15-25€
8,Restaurante Ichiban,4.2,"Av. de Alberto de Alcocer, 22 bis, 28036 Madrid, Spain",3.0,japanese,28036,40.4581183,-3.6847162,"{'type': 'Point', 'coordinates': [40.4581183, -3.6847162]}",25-50€
9,FUKU restaurante japonés,4.3,"Calle Marqués de Villamejor, 8, 28006 Madrid, Spain",2.0,japanese,28006,40.4311194,-3.6874406,"{'type': 'Point', 'coordinates': [40.4311194, -3.6874406]}",15-25€
10,Chow Chow,4.3,"Av. de Concha Espina, 55, 28016 Madrid, Spain",2.0,japanese,28016,40.4519609,-3.6804104,"{'type': 'Point', 'coordinates': [40.4519609, -3.6804104]}",15-25€
11,Nigiri Plaza de España,4.1,"C. de la Princesa, 1, 28008 Madrid, Spain",2.0,japanese,28008,40.4244248,-3.7120238,"{'type': 'Point', 'coordinates': [40.4244248, -3.7120238]}",15-25€
12,Ikki Restaurant,4.1,"Calle de Benito Gutiérrez, 4, 28008 Madrid, Spain",2.0,japanese,28008,40.4322222,-3.7180556,"{'type': 'Point', 'coordinates': [40.4322222, -3.7180556]}",15-25€
13,Tokyo-ya Japanese Food Store Madrid,4.3,"Av. del Pdte. Carmona, 9, 28020 Madrid, Spain",2.0,japanese,28020,40.4546255,-3.6974034,"{'type': 'Point', 'coordinates': [40.4546255, -3.6974034]}",15-25€
14,Japanese Club,4.2,"Calle de Juan Bravo, 11, 28006 Madrid, Spain",2.0,japanese,28006,40.4330013,-3.6830877,"{'type': 'Point', 'coordinates': [40.4330013, -3.6830877]}",15-25€
15,Miyama,4.6,"Paseo de la Castellana, 45, 28046 Madrid, Spain",3.0,japanese,28046,40.4356778,-3.6896583,"{'type': 'Point', 'coordinates': [40.4356778, -3.6896583]}",25-50€
16,Sublime Tokyo,4.6,"Cuesta de Sto. Domingo, 24, 28013 Madrid, Spain",2.0,japanese,28013,40.4198225,-3.7083009,"{'type': 'Point', 'coordinates': [40.4198225, -3.7083009]}",15-25€
17,Izakaya Han,4.6,"Calle de San Bartolomé, 10, 28004 Madrid, Spain",2.0,japanese,28004,40.4218249,-3.6984705,"{'type': 'Point', 'coordinates': [40.4218249, -3.6984705]}",15-25€
18,Naomi,4.6,"Calle de Ávila, 14, 28020 Madrid, Spain",2.0,japanese,28020,40.4525693,-3.7006115,"{'type': 'Point', 'coordinates': [40.4525693, -3.7006115]}",15-25€
19,Sr. Ito,4.5,"Calle de Pelayo, 60, 28004 Madrid, Spain",2.0,japanese,28004,40.4241058,-3.697380399999999,"{'type': 'Point', 'coordinates': [40.4241058, -3.697380399999999]}",15-25€
20,Kirei,4.1,"Melton St, 28042 Madrid, Spain",2.0,japanese,28042,40.4633669,-3.5704655,"{'type': 'Point', 'coordinates': [40.4633669, -3.5704655]}",15-25€
21,Running Sushi in Osaka,4.3,"Calle de Hermosilla, 103, 28009 Madrid, Spain",2.0,japanese,28009,40.4259521,-3.6738303,"{'type': 'Point', 'coordinates': [40.4259521, -3.6738303]}",15-25€
22,Tokyo Restaurant,3.7,"Calle de Meléndez Valdés, 64, 28015 Madrid, Spain",2.0,japanese,28015,40.43322999999999,-3.7162808,"{'type': 'Point', 'coordinates': [40.43322999999999, -3.7162808]}",15-25€
23,Nipponsei Sushi and Club,0.0,"Plaza de Santo Domingo, 28013 Madrid, Spain",2.0,japanese,28013,40.4205559,-3.7084988,"{'type': 'Point', 'coordinates': [40.4205559, -3.7084988]}",15-25€
24,DAISUKI Japanese Experience,0.0,"Calle de Albasanz, 14B, 28037 Madrid, Spain",2.0,japanese,28037,40.4359708,-3.6315413,"{'type': 'Point', 'coordinates': [40.4359708, -3.6315413]}",15-25€
25,Panda Patisserie,3.8,"Calle de Mesonero Romanos, 17, 28004 Madrid, Spain",2.0,japanese,28004,40.4209581,-3.7039909,"{'type': 'Point', 'coordinates': [40.4209581, -3.7039909]}",15-25€
26,Sushi Market,3.8,"Plaza de San Miguel, s/n, 28005 Madrid, Spain",2.0,japanese,28005,40.4154491,-3.7089801,"{'type': 'Point', 'coordinates': [40.4154491, -3.7089801]}",15-25€
27,Miss Sushi Hortaleza,4.0,"Calle de Hortaleza, 108, 28004 Madrid, Spain",2.0,japanese,28004,40.4255088,-3.697372299999999,"{'type': 'Point', 'coordinates': [40.4255088, -3.697372299999999]}",15-25€
28,Helados Refrescos Japan Market,4.2,"Calle de Esparteros, 4, 28012 Madrid, Spain",2.0,japanese,28012,40.4161337,-3.705180999999999,"{'type': 'Point', 'coordinates': [40.4161337, -3.705180999999999]}",15-25€
29,Stacksando - Japanese Comfort Kitchen 🇯🇵,0.0,"Calle de Lope de Vega, 16, 28014 Madrid, Spain",2.0,japanese,28014,40.413677,-3.697799,"{'type': 'Point', 'coordinates': [40.413677, -3.697799]}",15-25€
30,Restaurante Doki Doki,4.4,"Calle Villalar, 4, 28001 Madrid, Spain",3.0,japanese,28001,40.421046,-3.689808999999999,"{'type': 'Point', 'coordinates': [40.421046, -3.689808999999999]}",25-50€
31,Umiko Restaurante Japonés Fusión,4.5,"Calle de los Madrazo, 18, 28014 Madrid, Spain",2.0,japanese,28014,40.4175316,-3.6973425,"{'type': 'Point', 'coordinates': [40.4175316, -3.6973425]}",15-25€
32,JANATOMO,4.5,"Calle de la Reina, 27, 28004 Madrid, Spain",2.0,japanese,28004,40.4200162,-3.698991,"{'type': 'Point', 'coordinates': [40.4200162, -3.698991]}",15-25€
33,Restaurante Japonés Art & Sushi Madrid,4.4,"Calle de Carranza, 9 Glorieta de Bilbao, 28004 Madrid, Spain",2.0,japanese,28004,40.42904679999999,-3.703373,"{'type': 'Point', 'coordinates': [40.42904679999999, -3.703373]}",15-25€
34,Donzoko,4.5,"Calle de Echegaray, 3, 28014 Madrid, Spain",2.0,japanese,28014,40.4161876,-3.6995699,"{'type': 'Point', 'coordinates': [40.4161876, -3.6995699]}",15-25€
35,Ramen Kagura Ópera,4.6,"Calle de las Fuentes, 1, 28013 Madrid, Spain",1.0,japanese,28013,40.416807,-3.708749,"{'type': 'Point', 'coordinates': [40.416807, -3.708749]}",1-15€
36,Livin'Japan,4.6,"Calle de la Torrecilla del Leal, 20, 28012 Madrid, Spain",1.0,japanese,28012,40.41059569999999,-3.6994991,"{'type': 'Point', 'coordinates': [40.41059569999999, -3.6994991]}",1-15€
37,Restaurante Shinatora Ya,4.5,"Calle de Claudio Coello, 41, 28001 Madrid, Spain",2.0,japanese,28001,40.4257681,-3.6866895,"{'type': 'Point', 'coordinates': [40.4257681, -3.6866895]}",15-25€
38,Saisho,4.6,"Calle de Evaristo San Miguel, 21, 28008 Madrid, Spain",2.0,japanese,28008,40.4257121,-3.716534899999999,"{'type': 'Point', 'coordinates': [40.4257121, -3.716534899999999]}",15-25€
39,99 Sushi Bar Eurobuilding,4.6,"C. del Padre Damián, 23, 28036 Madrid, Spain",4.0,japanese,28036,40.4585474,-3.6858002,"{'type': 'Point', 'coordinates': [40.4585474, -3.6858002]}",More than 50€
