,name,rating,location,address,price_level,place
0,Discoteca Azúcar,3.7,"{'type': 'Point', 'coordinates': [-3.6952526, 40.4106491]}","28012, C. de Atocha, 107, 28012 Madrid, Spain",1.0,salsa club
1,The Host Club,4.2,"{'type': 'Point', 'coordinates': [-3.7172868, 40.4263181]}","Calle de Ferraz, 38, 28008 Madrid, Spain",,salsa club
2,Madrid Salsa Club,1.0,"{'type': 'Point', 'coordinates': [-3.6983671, 40.4110261]}","Calle de Santa Isabel, 9, 28012 Madrid, Spain",,salsa club
3,Discoteca El Son,3.9,"{'type': 'Point', 'coordinates': [-3.7017673, 40.4160653]}","Calle de la Victoria, 6, 28012 Madrid, Spain",2.0,salsa club
4,Enchufla Club de Salsa,4.7,"{'type': 'Point', 'coordinates': [-3.6727751, 40.3832902]}","Calle Cerro de la Alcazaba, 38, 28053 Madrid, Spain",1.0,salsa club
5,Tropical House,3.9,"{'type': 'Point', 'coordinates': [-3.708732, 40.423061]}","Plaza de los Mostenses n11, 28015 Madrid, Spain",1.0,salsa club
6,CARPE DIEM SALSA Madrid,4.5,"{'type': 'Point', 'coordinates': [-3.6263889, 40.4194444]}","Calle Idioma Esperanto, 2, Local 4, 28017 Madrid, Spain",,salsa club
7,El Palacio de la salsa,0.0,"{'type': 'Point', 'coordinates': [-3.6961653, 40.40520230000001]}","Calle de Sebastián Elcano, 40, 28012 Madrid, Spain",,salsa club
8,Rumba Salsa,3.8,"{'type': 'Point', 'coordinates': [-3.7162793, 40.4353651]}","Calle de Fernández de los Ríos, 87, 28015 Madrid, Spain",,salsa club
9,Clases de Bailes Latinos,4.5,"{'type': 'Point', 'coordinates': [-3.7091242, 40.42322370000001]}","Plaza de los Mostenses, 11, 28015 Madrid, Spain",,salsa club
10,Salsa Rumba,4.4,"{'type': 'Point', 'coordinates': [-3.694041399999999, 40.4544936]}","Av. de Brasil, 5, 28020 Madrid, Spain",,salsa club
11,Baila Madrid,3.5,"{'type': 'Point', 'coordinates': [-3.6647729, 40.4298479]}","Calle de Alcalá, 192, 28028 Madrid, Spain",,salsa club
12,Borinquen Madrid,3.7,"{'type': 'Point', 'coordinates': [-3.667763, 40.424757]}","Calle Fundadores, 7, 28028 Madrid, Spain",2.0,salsa club
13,Kilatinum - Club Bailarios,4.0,"{'type': 'Point', 'coordinates': [-3.7074702, 40.4227306]}","Calle de San Bernardo, 20, 28015 Madrid, Spain",,salsa club
14,Ramdall,1.0,"{'type': 'Point', 'coordinates': [-3.7188841, 40.42778089999999]}","Calle de Ferraz, 28008 Madrid, Spain",,salsa club
15,DANCES WITH STYLE / CUBAN SALSA CLASSES IN MADRID,4.9,"{'type': 'Point', 'coordinates': [-3.7036534, 40.4148114]}","Calle de Carretas, 14, 5º F, 28012 Madrid, Spain",,salsa club
16,Sala Ramdall,3.9,"{'type': 'Point', 'coordinates': [-3.7172325, 40.426323]}","Calle de Ferraz, 38, 28008 Madrid, Spain",,salsa club
17,Parche,4.1,"{'type': 'Point', 'coordinates': [-3.6733813, 40.4271732]}","Cl. de Ayala, 120, 28006 Madrid, Spain",,salsa club
18,MAGANGUE DISCOTECA,4.2,"{'type': 'Point', 'coordinates': [-3.765618, 40.3936023]}","Calle de Maqueda, 30, 28024 Madrid, Spain",,salsa club
19,Sala Olvido Discoteca y Eventos,3.8,"{'type': 'Point', 'coordinates': [-3.7027654, 40.3867625]}","Calle Olvido, 15, 28026 Madrid, Spain",1.0,salsa club
20,Pincel,4.4,"{'type': 'Point', 'coordinates': [-3.7859661, 40.4286275]}","Calle del Dr. Raso, 1, 28223 Pozuelo de Alarcón, Madrid, Spain",1.0,salsa club
21,Center Mambo Latino,4.0,"{'type': 'Point', 'coordinates': [-3.6948384, 40.4510045]}","Calle de Orense, 22, 28020 Madrid, Spain",,salsa club
22,GRAN CAIMAN,3.5,"{'type': 'Point', 'coordinates': [-3.694041399999999, 40.4544936]}","Av. de Brasil, 5, 28020 Madrid, Spain",1.0,salsa club
23,"ABAILARMADRID - Dance, friends and fun",4.9,"{'type': 'Point', 'coordinates': [-3.6687524, 40.4345285]}","Calle Azcona, 44 (puerta de la izquierda), 1ª pl Metro: Diego de León, 28028 Madrid, Spain",,salsa club
24,Salsa Madrid Centro,4.4,"{'type': 'Point', 'coordinates': [-3.6891317, 40.41919770000001]}","Plaza de la Independencia, 8, 28001 Madrid, Spain",,salsa club
