,name,rating,location,address,price_level,place
0,Samsa Club,4.2,"{'type': 'Point', 'coordinates': [-3.7866342, 40.4446826]}","Av. de Europa, 27, 28023 Pozuelo de Alarcón, Madrid, Spain",2.0,samba club
1,Tempo Club,4.0,"{'type': 'Point', 'coordinates': [-3.711892, 40.425275]}","Calle Duque de Osuna, 8, 28015 Madrid, Spain",,samba club
2,Nightlife Madrid,4.8,"{'type': 'Point', 'coordinates': [-3.6845998, 40.4278501]}","Cl. de Ayala, 27, 28001 Madrid, Spain",,samba club
3,Maravillas Club,3.8,"{'type': 'Point', 'coordinates': [-3.7043747, 40.4257544]}","Calle de San Vicente Ferrer, 33, 28004 Madrid, Spain",2.0,samba club
4,Planet Club,4.6,"{'type': 'Point', 'coordinates': [-3.7005493, 40.4152145]}","C. del Príncipe, 20, 28012 Madrid, Spain",,samba club
5,moondance madrid,3.5,"{'type': 'Point', 'coordinates': [-3.701058, 40.418402]}","Calle de la Aduana, 21, 28012 679013092, Madrid, Spain",1.0,samba club
6,Club Malasaña,4.1,"{'type': 'Point', 'coordinates': [-3.703169699999999, 40.42565099999999]}","Calle de San Vicente Ferrer, 23, 28004 Madrid, Spain",,samba club
7,Goya Social Club,3.6,"{'type': 'Point', 'coordinates': [-3.682990999999999, 40.425301]}","Calle de Goya, 43, 28001 Madrid, Spain",2.0,samba club
8,Nomad Club,4.0,"{'type': 'Point', 'coordinates': [-3.699651799999999, 40.4150834]}","Calle de Manuel Fernández y González, 6, 28014 Madrid, Spain",2.0,samba club
9,Commo,3.7,"{'type': 'Point', 'coordinates': [-3.702391, 40.41526229999999]}","Calle de Espoz y Mina, 22, 28012 Madrid, Spain",2.0,samba club
10,Ya'sta Club,3.7,"{'type': 'Point', 'coordinates': [-3.7019926, 40.4211199]}","Calle de Valverde, 10, 28004 Madrid, Spain",,samba club
11,Kapital,3.8,"{'type': 'Point', 'coordinates': [-3.6931083, 40.4097611]}","C. de Atocha, 125, 28012 Madrid, Spain",3.0,samba club
12,Panda Club Madrid,3.3,"{'type': 'Point', 'coordinates': [-3.6959826, 40.4481601]}","Calle de Hernani, 75, 28020 Madrid, Spain",,samba club
13,Charada Club de Baile,3.6,"{'type': 'Point', 'coordinates': [-3.709616, 40.420617]}","Calle de la Bola, 13, 28013 Madrid, Spain",,samba club
14,Independance Club,3.8,"{'type': 'Point', 'coordinates': [-3.692779899999999, 40.409605]}","C. de Atocha, 127, 28012 Madrid, Spain",1.0,samba club
