,name,rating,location,address,price_level,place
0,Actívate Senderismo,4.5,"{'type': 'Point', 'coordinates': [-3.647928, 40.4104751]}","Calle del Corregidor José de Pasamonte, 21, 28030 Madrid, Spain",,senderismo
1,Pinar de Valdelatas,4.5,"{'type': 'Point', 'coordinates': [-3.6649982, 40.532928]}","Av. de Peñalara, 22, 28108 Alcobendas, Madrid, Spain",,senderismo
2,"Senderismo Activo, rutas y viajes",4.7,"{'type': 'Point', 'coordinates': [-3.7079228, 40.4103252]}","Calle de Santa Ana, 4, local derecha, 28005 Madrid, Spain",,senderismo
3,Pura Vida Senderismo,4.7,"{'type': 'Point', 'coordinates': [-3.6259813, 40.3872365]}","Calle de Arboleda, 18, Nave 6, 28031 Madrid, Spain",,senderismo
4,Sendergran Madrid,4.3,"{'type': 'Point', 'coordinates': [-3.6907122, 40.3715084]}","Centro de Mayores, Av. de San Fermín, 15, 28041 Madrid, Spain",,senderismo
5,Grupo de Montaña CSIC,4.9,"{'type': 'Point', 'coordinates': [-3.6874582, 40.4406438]}","Calle de Serrano, 115 bis, 28006 Madrid, Spain",,senderismo
6,Cristal de Roca,4.8,"{'type': 'Point', 'coordinates': [-3.6892305, 40.4686317]}","Paseo de la Castellana, 199, 28046 Madrid, Spain",,senderismo
7,Valdelatas Lookout,4.5,"{'type': 'Point', 'coordinates': [-3.683944299999999, 40.5298943]}","Carr. Vía de Servicio, 10D, 28049, Madrid, Spain",,senderismo
8,Alto del Mojón Dehesa de la villa,4.7,"{'type': 'Point', 'coordinates': [-3.7189444, 40.4563889]}","C/ de los Pirineos, 21, 28040 Madrid, Spain",,senderismo
9,Bunker Puente de la Culebra,0.0,"{'type': 'Point', 'coordinates': [-3.7713167, 40.401845]}","Anillo Verde Ciclista, 28011 Madrid, Spain",,senderismo
10,Camino de Madrid a Santiago de Compostela,0.0,"{'type': 'Point', 'coordinates': [-3.6978925, 40.5071111]}","Camino de la Cañada, 28034 Madrid, Spain",,senderismo
11,Tunel O'Donnell,0.0,"{'type': 'Point', 'coordinates': [-3.6536159, 40.4173771]}","28030 Madrid, Spain",,senderismo
12,Ruta de Paseo de Los Olmos,4.4,"{'type': 'Point', 'coordinates': [-3.51327, 40.41342]}","Paseo de Plátanos, 28830 San Fernando de Henares, Madrid, Spain",,senderismo
13,Active Tourism Club Get Going,4.8,"{'type': 'Point', 'coordinates': [-3.626989099999999, 40.5430637]}","Calle del Dos de Mayo, 6, 28703 San Sebastián de los Reyes, Madrid, Spain",,senderismo
14,Asociación Senderismo Joven,0.0,"{'type': 'Point', 'coordinates': [-3.644107, 40.43648170000001]}","Calle de Elfo, 132, 28027 Madrid, Spain",,senderismo
15,Hiking Tours and Travel S.L.,4.6,"{'type': 'Point', 'coordinates': [-3.6866175, 40.448083]}","Alcantara, 11, 28006 Madrid, Spain",,senderismo
16,Sendero y Luna,4.4,"{'type': 'Point', 'coordinates': [-3.676189099999999, 40.3936152]}","Calle Retama, 7, 28045 Madrid, Spain",,senderismo
17,ANDARA RUTAS S.L.,4.7,"{'type': 'Point', 'coordinates': [-3.6591045, 40.4074056]}","Av. de Moratalaz, 37, 28030 Madrid, Spain",,senderismo
18,Dreampeaks,4.6,"{'type': 'Point', 'coordinates': [-3.6737909, 40.4392797]}","Avenida de América, 29, 28002 Madrid, Spain",,senderismo
19,Coslada,0.0,"{'type': 'Point', 'coordinates': [-3.6912528, 40.4359364]}","Calle de Miguel Ángel, 23-11, 28010 Madrid, Spain",,senderismo
20,EL ÍBICE | SENDERISMO MADRID,0.0,"{'type': 'Point', 'coordinates': [-3.7179444, 40.4208357]}","Paseo del Rey, 6, 28008 Madrid, Spain",,senderismo
21,Senderismo Por El Pardo,4.4,"{'type': 'Point', 'coordinates': [-3.7919306, 40.5317282]}","28048 Madrid, Spain",,senderismo
22,Chorros Del Manzanares,4.8,"{'type': 'Point', 'coordinates': [-3.7091523, 40.3967469]}","Av del Manzanares, 152, 28019 Madrid, Spain",,senderismo
23,Sendero de la Risa,4.6,"{'type': 'Point', 'coordinates': [-3.6494977, 40.5702162]}","28702, Madrid, Spain",,senderismo
24,Corredor Ambiental del Río Manzanares,4.4,"{'type': 'Point', 'coordinates': [-3.7558737, 40.4886244]}","Carr Madrid-El Pardo, 11B, 28023 Madrid, Spain",,senderismo
25,Fire land,4.4,"{'type': 'Point', 'coordinates': [-3.709673199999999, 40.425762]}","Travesía de Conde Duque, 3, 28015 Madrid, Spain",,senderismo
26,Atuaire Viajes,4.1,"{'type': 'Point', 'coordinates': [-3.6691174, 40.3998249]}","Calle de Arregui y Aruej, 11, Local, 28007 Madrid, Spain",,senderismo
27,Geographica,4.6,"{'type': 'Point', 'coordinates': [-3.695043499999999, 40.449755]}","Calle de Orense, 16, 8º B, 28020 Madrid, Spain",,senderismo
28,SubAlpino Senderismo en Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.8763031, 40.3300218]}","Calle Pintor Velazquez, 39, 28933 Móstoles, Madrid, Spain",,senderismo
29,Club Senderismo PisaMontañas,3.8,"{'type': 'Point', 'coordinates': [-3.7057846, 40.4531271]}","Calle de Castilla, 40, 28039 Madrid, Spain",,senderismo
30,Monte Olimpo,0.0,"{'type': 'Point', 'coordinates': [-3.6503497, 40.561689]}","28701 San Sebastián de los Reyes, Madrid, Spain",,senderismo
31,"Montaventura, esquí y senderismo",4.7,"{'type': 'Point', 'coordinates': [-3.696216, 40.4100759]}","Calle del Marqués de Toca, 8, 28012 Madrid, Spain",,senderismo
32,ASOCIACIÓN MEDIOAMBIENTE Y SENDERISMO,0.0,"{'type': 'Point', 'coordinates': [-3.6761953, 40.4159274]}","C. de Narváez, 71, 28009 Madrid, Spain",,senderismo
33,Nanuk Experience,5.0,"{'type': 'Point', 'coordinates': [-3.7058044, 40.5980239]}","Calle de Buenos Aires, 41, 28760 Tres Cantos, Madrid, Spain",,senderismo
34,Vía Pecuaria SS de los Reyes,0.0,"{'type': 'Point', 'coordinates': [-3.6430547, 40.562082]}","Av. de los Arribes del Duero, 28702 San Sebastián de los Reyes, Madrid, Spain",,senderismo
35,Arawak Viajes,4.4,"{'type': 'Point', 'coordinates': [-3.702530299999999, 40.4022951]}","Calle de Ercilla, 28, 28005 Madrid, Spain",,senderismo
36,Madrid Mountaineering Federation,3.8,"{'type': 'Point', 'coordinates': [-3.6839605, 40.48604510000001]}","Av. de Salas de los Infantes, 1, 5º, 28034 Madrid, Spain",,senderismo
