,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
0,Sweet Cakes Madrid,4.7,"C. de Los Molinos, 22, 28039 Madrid, Spain",2.0,cake,28039,40.4580817,-3.702602999999999,"{'type': 'Point', 'coordinates': [40.4580817, -3.702602999999999]}",15-25€
1,La Cocina de mi Vecina,4.5,"Corredera Alta de San Pablo, 15, 28004 Madrid, Spain",1.0,cake,28004,40.4253466,-3.7019962,"{'type': 'Point', 'coordinates': [40.4253466, -3.7019962]}",15-25€
2,Fika Patisserie Madrid,5.0,"Calle de Costa Rica, 26, 28016 Madrid, Spain",2.0,cake,28016,40.4582729,-3.672964099999999,"{'type': 'Point', 'coordinates': [40.4582729, -3.672964099999999]}",1-15€
3,Sweet Brothers - Tartas Cakes,4.7,"Calle de Hortaleza, 33, 28004 Madrid, Spain",1.0,cake,28004,40.422097,-3.699874,"{'type': 'Point', 'coordinates': [40.422097, -3.699874]}",15-25€
4,Wicked Sweet Madrid,4.3,"Calle de Guzmán el Bueno, 45, 28015 Madrid, Spain",2.0,cake,28015,40.4339841,-3.7134165,"{'type': 'Point', 'coordinates': [40.4339841, -3.7134165]}",15-25€
5,Ceci Bakery,5.0,"Calle de Viriato, 57, 28010 Madrid, Spain",2.0,cake,28010,40.4357602,-3.696997,"{'type': 'Point', 'coordinates': [40.4357602, -3.696997]}",15-25€
6,Cake Dream,5.0,"Calle de Fermín Caballero, 7, 28034 Madrid, Spain",2.0,cake,28034,40.48668079999999,-3.6999462,"{'type': 'Point', 'coordinates': [40.48668079999999, -3.6999462]}",1-15€
7,Mr Carrot Cake,4.6,"Calle de Caleruega, 29, 28033 Madrid, Spain",2.0,cake,28033,40.4785827,-3.6709329,"{'type': 'Point', 'coordinates': [40.4785827, -3.6709329]}",15-25€
8,Bonacasa Cake Design,5.0,"Calle de Vital Aza, 48, 28017 Madrid, Spain",2.0,cake,28017,40.432229,-3.6407414,"{'type': 'Point', 'coordinates': [40.432229, -3.6407414]}",25-50€
9,Freedom Cakes Café,4.6,"Calle de Cádiz, 7, 28012 Madrid, Spain",2.0,cake,28012,40.4158763,-3.7028047,"{'type': 'Point', 'coordinates': [40.4158763, -3.7028047]}",15-25€
10,Noni's Bakery,5.0,"Plaza Luca de Tena, 11, 28045 Madrid, Spain",2.0,cake,28045,40.4017113,-3.6945119,"{'type': 'Point', 'coordinates': [40.4017113, -3.6945119]}",15-25€
11,CELICIOSO Gluten Free Bakery,4.2,"Calle de Hortaleza, 3, 28004 Madrid, Spain",2.0,cake,28004,40.420441,-3.701066,"{'type': 'Point', 'coordinates': [40.420441, -3.701066]}",15-25€
12,Tartas con Estilo,5.0,"Barrio de Fuencarral No tenemos tienda física, trabajamos exclusivamente bajo pedido, 28034 Madrid, Spain",2.0,cake,28034,40.4970457,-3.693884699999999,"{'type': 'Point', 'coordinates': [40.4970457, -3.693884699999999]}",15-25€
13,La Torta en Chamberí - Madrid,4.9,"C/ de Donoso Cortés, 62, 28015 Madrid, Spain",1.0,cake,28015,40.43655,-3.712534,"{'type': 'Point', 'coordinates': [40.43655, -3.712534]}",15-25€
14,La Mallorquina,4.3,"Puerta del Sol, 8, 28013 Madrid, Spain",1.0,cake,28013,40.4166836,-3.704774999999999,"{'type': 'Point', 'coordinates': [40.4166836, -3.704774999999999]}",15-25€
15,Naty's Cake Shop,4.4,"C. de Antonio Toledano, 17, 28028 Madrid, Spain",2.0,cake,28028,40.4244959,-3.6666415,"{'type': 'Point', 'coordinates': [40.4244959, -3.6666415]}",25-50€
16,Oliver Nicols,4.9,"Calle de la Santísima Trinidad, 6, 28010 Madrid, Spain",2.0,cake,28010,40.4352103,-3.7003702,"{'type': 'Point', 'coordinates': [40.4352103, -3.7003702]}",15-25€
17,TheCakeProject,4.8,"Calle de Ana de Austria, 25-27, 28050 Madrid, Spain",2.0,cake,28050,40.4921361,-3.660102,"{'type': 'Point', 'coordinates': [40.4921361, -3.660102]}",15-25€
18,La Mejor Tarta de Chocolate del Mundo,4.0,"Calle de Alcalá, 89, 28009 Madrid, Spain",2.0,cake,28009,40.4209935,-3.6851927,"{'type': 'Point', 'coordinates': [40.4209935, -3.6851927]}",15-25€
19,Decake,4.3,"Calle Francisco Abril, 11, 28007 Madrid, Spain",2.0,cake,28007,40.4006245,-3.669262,"{'type': 'Point', 'coordinates': [40.4006245, -3.669262]}",15-25€
20,Nuria's Bakery,4.9,"Calle Cuenca, 6 (Posterior), local 1 Entrada por, Calle Pamplona, 28523 Rivas-Vaciamadrid, Madrid, Spain",2.0,cake,28523,40.3671593,-3.5465364,"{'type': 'Point', 'coordinates': [40.3671593, -3.5465364]}",15-25€
21,Pastelería NatasBelém,4.3,"Plaza del Callao, 1, 28013 Madrid, Spain",2.0,cake,28013,40.4198066,-3.7061094,"{'type': 'Point', 'coordinates': [40.4198066, -3.7061094]}",15-25€
22,Pastelería La Mallorquina,4.2,"Calle de Velázquez, 39, 28001 Madrid, Spain",2.0,cake,28001,40.4261617,-3.6843119,"{'type': 'Point', 'coordinates': [40.4261617, -3.6843119]}",15-25€
23,Fiorella Cakes,4.0,"Cl. de Suero de Quiñones, 12, 28002 Madrid, Spain",2.0,cake,28002,40.4449258,-3.6761069,"{'type': 'Point', 'coordinates': [40.4449258, -3.6761069]}",15-25€
24,Katy's Bakery,4.6,"Plaza de las Salesas, 8, 28004 Madrid, Spain",1.0,cake,28004,40.4238224,-3.694635,"{'type': 'Point', 'coordinates': [40.4238224, -3.694635]}",15-25€
25,Pastelería Lisboa,4.7,"Calle de José Ortega y Gasset, 55, 28006 Madrid, Spain",2.0,cake,28006,40.4300843,-3.6757516,"{'type': 'Point', 'coordinates': [40.4300843, -3.6757516]}",15-25€
26,Tábatha Pastelería,4.8,"Calle de Alcántara, 23, 28006 Madrid, Spain",2.0,cake,28006,40.4278951,-3.6739624,"{'type': 'Point', 'coordinates': [40.4278951, -3.6739624]}",15-25€
27,Pastelería Luzón,4.6,"Calle del Conde de Peñalver, 42, 28006 Madrid, Spain",2.0,cake,28006,40.4293881,-3.6751487,"{'type': 'Point', 'coordinates': [40.4293881, -3.6751487]}",15-25€
28,"Pastelería LA ROSA 1917 ""Madrid"".",4.6,"Ronda de Atocha, 3, 28012 Madrid, Spain",2.0,cake,28012,40.4071281,-3.6943641,"{'type': 'Point', 'coordinates': [40.4071281, -3.6943641]}",15-25€
29,La Santiaguesa,4.4,"Calle Mayor, 73, 28013 Madrid, Spain",2.0,cake,28013,40.4152372,-3.7117459,"{'type': 'Point', 'coordinates': [40.4152372, -3.7117459]}",15-25€
30,Motteau Pasteleria,4.8,"Calle de San Pedro, 9, 28014 Madrid, Spain",2.0,cake,28014,40.4116599,-3.6946357,"{'type': 'Point', 'coordinates': [40.4116599, -3.6946357]}",25-50€
31,Manolo Bakes,4.6,"C.C. La Vaguada, Av. de Monforte de Lemos, 36, Local 85, 28029 Madrid, Spain",2.0,cake,28029,40.4799915,-3.7061443,"{'type': 'Point', 'coordinates': [40.4799915, -3.7061443]}",15-25€
32,Ricci's Cakes,4.6,"Av. del General Perón, 16, 28020 Madrid, Spain",1.0,cake,28020,40.4522897,-3.696773899999999,"{'type': 'Point', 'coordinates': [40.4522897, -3.696773899999999]}",15-25€
33,La Pastelería del Duque,4.0,"Calle del Duque de Alba, 14, 28012 Madrid, Spain",2.0,cake,28012,40.4116978,-3.7069349,"{'type': 'Point', 'coordinates': [40.4116978, -3.7069349]}",15-25€
34,Pastelería La Oriental con gluten,4.5,"Calle de Ferraz, 49, 28008 Madrid, Spain",2.0,cake,28008,40.42961469999999,-3.7208391,"{'type': 'Point', 'coordinates': [40.42961469999999, -3.7208391]}",15-25€
35,La Mejor Tarta de Chocolate del Mundo (Cervantes),4.7,"Calle de Cervantes, 9, 28014 Madrid, Spain",2.0,cake,28014,40.4144061,-3.6976684,"{'type': 'Point', 'coordinates': [40.4144061, -3.6976684]}",1-15€
36,El horno de papá Guillermo.Tartas artesanales y personalizadas,4.7,"Calle de Toledo, 171, 28005 Madrid, Spain",2.0,cake,28005,40.4025434,-3.7132583,"{'type': 'Point', 'coordinates': [40.4025434, -3.7132583]}",1-15€
37,Pastelería Auxai Tartas,4.9,"Plaza San Anacleto, 2, 28023 Madrid, Spain",2.0,cake,28023,40.4581168,-3.7824568,"{'type': 'Point', 'coordinates': [40.4581168, -3.7824568]}",15-25€
38,La Duquesita,4.2,"Calle de Fernando VI, 2, 28004 Madrid, Spain",2.0,cake,28004,40.4257167,-3.6969933,"{'type': 'Point', 'coordinates': [40.4257167, -3.6969933]}",15-25€
39,Pasteleria Ascaso,4.5,"Calle de Zurbano, 25, 28010 Madrid, Spain",2.0,cake,28010,40.430574,-3.693637,"{'type': 'Point', 'coordinates': [40.430574, -3.693637]}",More than 50€
40,Pastelería La Oriental Sin gluten,4.0,"Calle de Ferraz, 47, 28008 Madrid, Spain",2.0,cake,28008,40.4295994,-3.7207932,"{'type': 'Point', 'coordinates': [40.4295994, -3.7207932]}",15-25€
41,El Riojano,4.2,"Calle Mayor, 10, 28013 Madrid, Spain",2.0,cake,28013,40.4164843,-3.705974899999999,"{'type': 'Point', 'coordinates': [40.4164843, -3.705974899999999]}",More than 50€
42,Manolo Bakes,4.1,"C. de Narváez, 35, 28009 Madrid, Spain",2.0,cake,28009,40.4204448,-3.675861199999999,"{'type': 'Point', 'coordinates': [40.4204448, -3.675861199999999]}",15-25€
43,Aliter Dulcia,4.3,"Calle de Barbieri, 25, 28004 Madrid, Spain",2.0,cake,28004,40.4218568,-3.6979215,"{'type': 'Point', 'coordinates': [40.4218568, -3.6979215]}",15-25€
44,Pastelería Pan Feliz,4.6,"Calle del Dr Cortezo, 11, 28012 Madrid, Spain",2.0,cake,28012,40.4130517,-3.7037753,"{'type': 'Point', 'coordinates': [40.4130517, -3.7037753]}",15-25€
45,Star Cakes Madrid,4.3,"c/ Malagón, 5 local 40, entrada por c/ Tordomar, 28043 Madrid, Spain",1.0,cake,28043,40.467531,-3.639175,"{'type': 'Point', 'coordinates': [40.467531, -3.639175]}",15-25€
46,Pastelería Atuel,3.8,"Calle de José Ortega y Gasset, 87, 28006 Madrid, Spain",2.0,cake,28006,40.4298584,-3.6711878,"{'type': 'Point', 'coordinates': [40.4298584, -3.6711878]}",More than 50€
47,Manolo Bakes,3.9,"C.C, Gran Vía de Hortaleza, 1, Local 114, 28043 Madrid, Spain",2.0,cake,28043,40.4697123,-3.6413362,"{'type': 'Point', 'coordinates': [40.4697123, -3.6413362]}",15-25€
48,Pasteleria Creativa Javier Ramos,4.9,"C. de Moratín, 39, 28014 Madrid, Spain",2.0,cake,28014,40.4126418,-3.695338499999999,"{'type': 'Point', 'coordinates': [40.4126418, -3.695338499999999]}",15-25€
49,VegAmazing Doughnuts,4.9,"Calle del Duque de Sesto, 31, 28009 Madrid, Spain",2.0,cake,28009,40.4225146,-3.6748664,"{'type': 'Point', 'coordinates': [40.4225146, -3.6748664]}",25-50€
50,chök - A. Figueroa,4.5,"Calle de Augusto Figueroa, 16, 28004 Madrid, Spain",2.0,cake,28004,40.4224802,-3.698952,"{'type': 'Point', 'coordinates': [40.4224802, -3.698952]}",15-25€
51,Manolo Bakes,4.3,"Paseo de la Florida 2 C.C. Principe Pio - Local G38 Planta baj, 28008 Madrid, Spain",2.0,cake,28008,40.4212474,-3.7194452,"{'type': 'Point', 'coordinates': [40.4212474, -3.7194452]}",15-25€
52,Tart Tart Cake Shop,4.9,"Calle de Galileo, 66, local L-20, 28015 Madrid, Spain",1.0,cake,28015,40.4354844,-3.7100158,"{'type': 'Point', 'coordinates': [40.4354844, -3.7100158]}",15-25€
53,Casa Mira,4.4,"Carrera de S. Jerónimo, 30, 28014 Madrid, Spain",3.0,cake,28014,40.4164888,-3.6992683,"{'type': 'Point', 'coordinates': [40.4164888, -3.6992683]}",25-50€
54,Elma´s Cake & snacks,5.0,"Calle García Cea, 2, 28039 Madrid, Spain",2.0,cake,28039,40.4611486,-3.698505,"{'type': 'Point', 'coordinates': [40.4611486, -3.698505]}",1-15€
55,Harina Augusto Figueroa,3.9,"Calle de Augusto Figueroa, 2, 28004 Madrid, Spain",2.0,cake,28004,40.4229314,-3.7003011,"{'type': 'Point', 'coordinates': [40.4229314, -3.7003011]}",25-50€
56,Manolo Bakes,4.0,"CC Moratalaz Alcampo, Calle Manuel Machado, 3, Local 11, 28030 Madrid, Spain",2.0,cake,28030,40.4121378,-3.6598836,"{'type': 'Point', 'coordinates': [40.4121378, -3.6598836]}",15-25€
57,Acaramelada Pastelería,4.5,"Paseo de los Olmos, 13, 28005 Madrid, Spain",2.0,cake,28005,40.40454709999999,-3.7106253,"{'type': 'Point', 'coordinates': [40.40454709999999, -3.7106253]}",15-25€
58,Cake Shop,4.9,"Av. del Dr. Federico Rubio y Galí, 8, 28039 Madrid, Spain",2.0,cake,28039,40.4486792,-3.7083996,"{'type': 'Point', 'coordinates': [40.4486792, -3.7083996]}",15-25€
59,La Prima Lejana,4.8,"Calle de Lope de Vega, 7, 28014 Madrid, Spain",2.0,cake,28014,40.4138657,-3.6984189,"{'type': 'Point', 'coordinates': [40.4138657, -3.6984189]}",15-25€
60,Cupcakes Happy To You,4.5,"Calle de López de Hoyos, 78 Duplicado, 28002 Madrid, Spain",1.0,cupcakes,28002,40.442142,-3.67666,"{'type': 'Point', 'coordinates': [40.442142, -3.67666]}",15-25€
61,Oh my cup!,4.1,"Calle de Puentelarra, 40, 28031 Madrid, Spain",1.0,cupcakes,28031,40.38047479999999,-3.6109466,"{'type': 'Point', 'coordinates': [40.38047479999999, -3.6109466]}",15-25€
62,Ceci Bakery,5.0,"Calle de Viriato, 57, 28010 Madrid, Spain",1.0,cupcakes,28010,40.4357602,-3.696997,"{'type': 'Point', 'coordinates': [40.4357602, -3.696997]}",15-25€
63,Noni's Bakery,5.0,"Plaza Luca de Tena, 11, 28045 Madrid, Spain",1.0,cupcakes,28045,40.4017113,-3.6945119,"{'type': 'Point', 'coordinates': [40.4017113, -3.6945119]}",15-25€
64,Pastelería Auxai Tartas,4.9,"Plaza San Anacleto, 2, 28023 Madrid, Spain",1.0,cupcakes,28023,40.4581168,-3.7824568,"{'type': 'Point', 'coordinates': [40.4581168, -3.7824568]}",15-25€
65,Alma's Cupcakes - Shop,4.6,"Calle de Montesa, 10, 28006 Madrid, Spain",1.0,cupcakes,28006,40.4274107,-3.6722729,"{'type': 'Point', 'coordinates': [40.4274107, -3.6722729]}",1-15€
66,Wicked Sweet Madrid,4.3,"Calle de Guzmán el Bueno, 45, 28015 Madrid, Spain",1.0,cupcakes,28015,40.4339841,-3.7134165,"{'type': 'Point', 'coordinates': [40.4339841, -3.7134165]}",1-15€
67,Freedom Cakes Café,4.6,"Calle de Cádiz, 7, 28012 Madrid, Spain",2.0,cupcakes,28012,40.4158763,-3.7028047,"{'type': 'Point', 'coordinates': [40.4158763, -3.7028047]}",15-25€
68,CELICIOSO Gluten Free Bakery,4.2,"Calle de Hortaleza, 3, 28004 Madrid, Spain",1.0,cupcakes,28004,40.420441,-3.701066,"{'type': 'Point', 'coordinates': [40.420441, -3.701066]}",15-25€
69,Nuria's Bakery,4.9,"Calle Cuenca, 6 (Posterior), local 1 Entrada por, Calle Pamplona, 28523 Rivas-Vaciamadrid, Madrid, Spain",1.0,cupcakes,28523,40.3671593,-3.5465364,"{'type': 'Point', 'coordinates': [40.3671593, -3.5465364]}",15-25€
70,Katy's Bakery,4.6,"Plaza de las Salesas, 8, 28004 Madrid, Spain",1.0,cupcakes,28004,40.4238224,-3.694635,"{'type': 'Point', 'coordinates': [40.4238224, -3.694635]}",15-25€
71,Decake,4.3,"Calle Francisco Abril, 11, 28007 Madrid, Spain",1.0,cupcakes,28007,40.4006245,-3.669262,"{'type': 'Point', 'coordinates': [40.4006245, -3.669262]}",15-25€
72,Sweet Brothers - Tartas Cakes,4.7,"Calle de Hortaleza, 33, 28004 Madrid, Spain",1.0,cupcakes,28004,40.422097,-3.699874,"{'type': 'Point', 'coordinates': [40.422097, -3.699874]}",1-15€
73,Maria Mirabelli Party Design,3.9,"Calle de Bretón de los Herreros, 38, 28003 Madrid, Spain",1.0,cupcakes,28003,40.4394059,-3.696805899999999,"{'type': 'Point', 'coordinates': [40.4394059, -3.696805899999999]}",1-15€
74,Home Bakery,4.3,"Calle Viloria de La Rioja, 42, 28050 Madrid, Spain",2.0,cupcakes,28050,40.505456,-3.674447999999999,"{'type': 'Point', 'coordinates': [40.505456, -3.674447999999999]}",1-15€
