,name,rating,location,address,place
0,Wellness Boutique Experience / Day Spa Massage,4.9,"{'type': 'Point', 'coordinates': [-3.6961082, 40.4258066]}","Calle de Campoamor, 5, 28004 Madrid, Spain",spa
1,The Organic Spa,4.6,"{'type': 'Point', 'coordinates': [-3.684683699999999, 40.4307528]}","Calle de Lagasca, 90, 28006 Madrid, Spain",spa
2,Private Spa Madrid - Plaza Castilla,4.6,"{'type': 'Point', 'coordinates': [-3.6873826, 40.4636558]}","Calle del Dr. Fleming, 60, B, 28036 Madrid, Spain",spa
3,Madrid Day Spa by Nuilea,4.7,"{'type': 'Point', 'coordinates': [-3.6988429, 40.4144911]}","Calle del León, 4, 28014 Madrid, Spain",spa
4,Hammam Al Ándalus Madrid,4.4,"{'type': 'Point', 'coordinates': [-3.704224, 40.4142904]}","C. de Atocha, 14, 28012 Madrid, Spain",spa
5,Esenzias,4.4,"{'type': 'Point', 'coordinates': [-3.702844199999999, 40.4147944]}","Calle de la Cruz, 28, 28012 Madrid, Spain",spa
6,Spa Balneario Madrid Sol y Agua,4.2,"{'type': 'Point', 'coordinates': [-3.6976168, 40.4574713]}","Calle de la Infanta Mercedes, 36, 28020 Madrid, Spain",spa
7,Auditorium Spa,4.2,"{'type': 'Point', 'coordinates': [-3.6763889, 40.4455556]}","Cl. de Suero de Quiñones, 22, 28002 Madrid, Spain",spa
8,Fariolen - Oriental Massage,4.6,"{'type': 'Point', 'coordinates': [-3.684728, 40.42903039999999]}","Calle de Lagasca, 80, 28001 Madrid, Spain",spa
9,Flotexperience,4.8,"{'type': 'Point', 'coordinates': [-3.6717795, 40.5048951]}","Calle Campo de la Estrella, 7, 28050 Madrid, Spain",spa
10,Los Nogales,4.1,"{'type': 'Point', 'coordinates': [-3.7165304, 40.4054061]}","Paseo Imperial, 26, 28035 Madrid, Spain",spa
11,CorpoDieci Madrid,3.7,"{'type': 'Point', 'coordinates': [-3.705159799999999, 40.4477538]}","Calle del Dr. Santero, 10, 28039 Madrid, Spain",spa
12,Senzia Gran Vía Spa & Wellness,3.2,"{'type': 'Point', 'coordinates': [-3.7099719, 40.4226075]}","C/ Gran Vía, 70, 28013 Madrid, Spain",spa
13,Caroli Health Club,4.2,"{'type': 'Point', 'coordinates': [-3.703443, 40.486518]}","Hotel Eurostars Suites Mirasierra, C. de Alfredo Marqueríe, 43, 28034 Madrid, Spain",spa
14,Templo del Masaje Goya,4.8,"{'type': 'Point', 'coordinates': [-3.6701576, 40.42371139999999]}","Calle de la Povedilla, 6, 28009 Madrid, Spain",spa
15,Kinnaree Thai Traditional Massage,4.6,"{'type': 'Point', 'coordinates': [-3.694731, 40.425695]}","Calle de Argensola, 11, Bajo Izquierda, 28004 Madrid, Spain",spa
16,Masvitalzenter,0.0,"{'type': 'Point', 'coordinates': [-3.7028911, 40.4147618]}","Calle de la Cruz, 28, 28012 Madrid, Spain",spa
17,AquaBody,3.7,"{'type': 'Point', 'coordinates': [-3.7403321, 40.3859279]}","Calle de Castrojeriz, 9, 28025 Madrid, Spain",spa
18,Spaxión Madrid,4.8,"{'type': 'Point', 'coordinates': [-3.6918502, 40.4582778]}","Calle del Poeta Joan Maragall, 30, 28020 Madrid, Spain",spa
19,Balneario Aguai+,3.3,"{'type': 'Point', 'coordinates': [-3.6308001, 40.4656938]}","Calle de las Pedroñeras, 11, 28043 Madrid, Spain",spa
20,Biloba Spa VP,2.0,"{'type': 'Point', 'coordinates': [-3.7113558, 40.422886]}","Plaza de España, 3, 28008 Madrid, Spain",spa
21,ABSARA SPA WELLNESS,3.7,"{'type': 'Point', 'coordinates': [-3.7034552, 40.4865386]}","Calle de Alfredo Marquerie, 43, 28034 Madrid, Spain",spa
22,Massage Temple Princess,4.7,"{'type': 'Point', 'coordinates': [-3.7173002, 40.4284753]}","Calle de Martín de los Heros, 59, 28008 Madrid, Spain",spa
23,Centro de Masajes | Barrio Salamanca Madrid | Beauty & Health,5.0,"{'type': 'Point', 'coordinates': [-3.6852601, 40.4277011]}","Cl. de Ayala, 32, Bajo izquierda, 28001 Madrid, Spain",spa
24,Caroli Health Club,0.0,"{'type': 'Point', 'coordinates': [-3.690215299999999, 40.4363445]}","Hotel Intercontinental, Paseo de la Castellana, 49, 28046 Madrid, Spain",spa
25,"The Beauty Concept at Mandarin Oriental Ritz, Madrid",0.0,"{'type': 'Point', 'coordinates': [-3.6925557, 40.4157026]}","Plaza de la Lealtad, 5, 28014 Madrid, Spain",spa
26,Spaxion El Corte Inglés Callao,0.0,"{'type': 'Point', 'coordinates': [-3.70618, 40.42006]}","Plaza del Callao, nº 3, 28013 Madrid, Spain",spa
27,Manila Look and Feel Good,4.1,"{'type': 'Point', 'coordinates': [-3.638833, 40.535586]}","Av. Olímpica, 32, Local 9, 28108 Alcobendas, Madrid, Spain",spa
28,The Spa at Four Seasons Hotel Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.700388, 40.4170089]}","Calle de Sevilla, 3, 28014 Madrid, Spain",spa
29,Thai Orchid Spa and Massage Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.6825683, 40.4398106]}","Calle de Velázquez, 136, Bajo A spa 22, 28006 Madrid, Spain",spa
