,name,rating,location,address,price_level,place
0,Cervecería Deportiva Sports Bar,3.6,"{'type': 'Point', 'coordinates': [-3.7076544, 40.4195096]}","Calle de las Veneras, 7, 28013 Madrid, Spain",1.0,sports bar
1,James Joyce Irish Pub Madrid,4.3,"{'type': 'Point', 'coordinates': [-3.691314, 40.419919]}","Calle de Alcalá, 59, 28014 Madrid, Spain",2.0,sports bar
2,Irish City Sport Bar,4.2,"{'type': 'Point', 'coordinates': [-3.675606799999999, 40.4020955]}","Calle Caridad, 7, 28007 Madrid, Spain",1.0,sports bar
3,Penalti Lounge Bar Moncloa,3.9,"{'type': 'Point', 'coordinates': [-3.717764, 40.435419]}","Calle de Fernández de los Ríos, 95, 28015 Madrid, Spain",1.0,sports bar
4,Champions Bar,4.2,"{'type': 'Point', 'coordinates': [-3.558009, 40.448962]}","Av. de Aragón, 400, 28022 Madrid, Spain",,sports bar
5,Sports & Tapas Bar Madrid,4.1,"{'type': 'Point', 'coordinates': [-3.7084069, 40.4159049]}","Calle Mayor, 68, 28013 Madrid, Spain",1.0,sports bar
6,Luckia Sport Café,4.0,"{'type': 'Point', 'coordinates': [-3.693506, 40.452019]}","Av. del General Perón, 36, 28020 Madrid, Spain",,sports bar
7,The Irish Rover,4.3,"{'type': 'Point', 'coordinates': [-3.6939592, 40.4547278]}","Av. de Brasil, 7, 28020 Madrid, Spain",2.0,sports bar
8,Deportiva Sport Bar,3.2,"{'type': 'Point', 'coordinates': [-3.7076169, 40.4194516]}","Calle, Costanilla de los Ángeles, 12, 28013 Madrid, Spain",,sports bar
9,Canister (Antiguo Don Latas),4.0,"{'type': 'Point', 'coordinates': [-3.7022836, 40.4360498]}","C. Gral. Álvarez de Castro, 24, 28010 Madrid, Spain",1.0,sports bar
10,Ocean Rock Bar,4.3,"{'type': 'Point', 'coordinates': [-3.7034948, 40.4256298]}","Calle de San Vicente Ferrer, 27, 28004 Madrid, Spain",1.0,sports bar
11,Lucky Loser Sport Tavern,4.3,"{'type': 'Point', 'coordinates': [-3.6031649, 40.4268165]}","Calle Helsinki, 8, 28022 Madrid, Spain",,sports bar
12,Soccer Bar Cervecería,3.9,"{'type': 'Point', 'coordinates': [-3.6690751, 40.4769343]}","Calle de Caleruega, 1, 28033 Madrid, Spain",2.0,sports bar
13,MacLaren's Irish & Sports Bar - Vaguada,4.3,"{'type': 'Point', 'coordinates': [-3.703136499999999, 40.48312689999999]}","Calle de Santiago de Compostela, 40, 28034 Madrid, Spain",1.0,sports bar
14,La Fontana de Oro,4.1,"{'type': 'Point', 'coordinates': [-3.701585, 40.41640100000001]}","Calle de la Victoria, 1, 28012 Madrid, Spain",2.0,sports bar
15,The Thirty Three Bar Irlandés,4.2,"{'type': 'Point', 'coordinates': [-3.670871099999999, 40.4422005]}","Calle Clara del Rey, 33, 28002 Madrid, Spain",2.0,sports bar
16,La Cofradía,4.5,"{'type': 'Point', 'coordinates': [-3.6746248, 40.4325438]}","Calle de Juan Bravo, 57, 28006 Madrid, Spain",1.0,sports bar
