,name,rating,location,address,place
0,Noman Sweet Shop,3.5,"{'type': 'Point', 'coordinates': [-3.7024697, 40.407656]}","Calle de Tribulete, 13, 28012 Madrid, Spain",sweets
1,Sweet Cakes Madrid,4.7,"{'type': 'Point', 'coordinates': [-3.702602999999999, 40.4580817]}","C. de Los Molinos, 22, 28039 Madrid, Spain",sweets
2,Wicked Sweet Madrid,4.3,"{'type': 'Point', 'coordinates': [-3.7134165, 40.4339841]}","Calle de Guzmán el Bueno, 45, 28015 Madrid, Spain",sweets
3,Sweet Studio,4.5,"{'type': 'Point', 'coordinates': [-3.7088708, 40.4257291]}","Calle del Noviciado, Nº16, 28015 Madrid, Spain",sweets
4,Caramelos Paco,4.5,"{'type': 'Point', 'coordinates': [-3.707936, 40.4117138]}","Calle de Toledo, 53, 55, 28005 Madrid, Spain",sweets
5,La Mallorquina,4.3,"{'type': 'Point', 'coordinates': [-3.704774999999999, 40.4166836]}","Puerta del Sol, 8, 28013 Madrid, Spain",sweets
6,Captain Jonny's candy shop,3.1,"{'type': 'Point', 'coordinates': [-3.7051399, 40.4184414]}","Calle de Preciados, 11, 28013 Madrid, Spain",sweets
7,Sweet pirate,2.1,"{'type': 'Point', 'coordinates': [-3.707142, 40.4213789]}","C/ Gran Vía, 54, 28013 Madrid, Spain",sweets
8,Sweets & Coffee,3.6,"{'type': 'Point', 'coordinates': [-3.7063016, 40.4800162]}","Av. de Monforte de Lemos, 36, 28029 Madrid, Spain",sweets
9,Sweet Brothers - Tartas Cakes,4.7,"{'type': 'Point', 'coordinates': [-3.699874, 40.422097]}","Calle de Hortaleza, 33, 28004 Madrid, Spain",sweets
10,dosbombones Dulces Para Todos| Bombonería | Productos sin Alérgenos,4.6,"{'type': 'Point', 'coordinates': [-3.7253183, 40.3918375]}","Mercado San Isidro local 38, Calle San Patricio, 1, 28019 Madrid, Spain",sweets
11,Panda Patisserie,3.8,"{'type': 'Point', 'coordinates': [-3.7039909, 40.4209581]}","Calle de Mesonero Romanos, 17, 28004 Madrid, Spain",sweets
12,Sweet Way,4.7,"{'type': 'Point', 'coordinates': [-3.6727886, 40.40587499999999]}","Calle de Sánchez Barcáiztegui, 36, 28007 Madrid, Spain",sweets
13,SELEKTA SWEETS,4.9,"{'type': 'Point', 'coordinates': [-3.6799969, 40.42949369999999]}","Calle del Príncipe de Vergara, 47, 28006 Madrid, Spain",sweets
14,Samee Sweet Shop,4.4,"{'type': 'Point', 'coordinates': [-3.7025345, 40.4084886]}","Calle del Sombrerete, 14, 28012 Madrid, Spain",sweets
15,Sweet Days Cups and Cakes,3.3,"{'type': 'Point', 'coordinates': [-3.6891715, 40.4615847]}","Paseo de la Castellana, 188, 28046 Madrid, Spain",sweets
16,Caramelos Publicitarios | Publimelos,0.0,"{'type': 'Point', 'coordinates': [-3.7083344, 40.4116929]}","Metro, Calle de Toledo, 52, 28005 Madrid, Spain",sweets
17,Sweet Factory Madrid,5.0,"{'type': 'Point', 'coordinates': [-3.7589308, 40.3303212]}","Av. de la Mancha, 15, 28912 Leganés, Madrid, Spain",sweets
