,name,rating,location,address,price_level,place
0,El miniBAR,4.7,"{'type': 'Point', 'coordinates': [-3.7092101, 40.4163072]}","C/ del Mesón de Paños, 1, 28013 Madrid, Spain",1.0,tapas
1,Tinto y Tapas Bar,4.5,"{'type': 'Point', 'coordinates': [-3.6943769, 40.4110204]}","Calle de Almadén, 14, 28014 Madrid, Spain",1.0,tapas
2,Taberna LA CONCHA,4.5,"{'type': 'Point', 'coordinates': [-3.7083581, 40.4131907]}","Calle de la Cava Baja, 7, 28005 Madrid, Spain",2.0,tapas
3,Malaspina,4.3,"{'type': 'Point', 'coordinates': [-3.7026826, 40.4158435]}","Calle de Cádiz, 9, 28012 Madrid, Spain",1.0,tapas
4,Tapas & Más,4.2,"{'type': 'Point', 'coordinates': [-3.7023917, 40.4154755]}","Calle de Espoz y Mina, 18, 28012 Madrid, Spain",1.0,tapas
5,Casa González,4.5,"{'type': 'Point', 'coordinates': [-3.698952, 40.414032]}","Calle del León, 12, 28014 Madrid, Spain",2.0,tapas
6,a.n.E.l. Tapas & Lounge Bar Madrid,4.2,"{'type': 'Point', 'coordinates': [-3.6901978, 40.4206415]}","Calle Villalar, 1, 28001 Madrid, Spain",2.0,tapas
7,El Tigre Sidra Bar,4.1,"{'type': 'Point', 'coordinates': [-3.6978462, 40.4203441]}","Calle de las Infantas, 23, 28004 Madrid, Spain",1.0,tapas
8,Bodega de la Ardosa,4.3,"{'type': 'Point', 'coordinates': [-3.7017596, 40.4237683]}","Calle de Colón, 13, 28004 Madrid, Spain",2.0,tapas
9,Cañas y Tapas,3.8,"{'type': 'Point', 'coordinates': [-3.7060501, 40.4174207]}","Plaza de Celenque, 1, 28013 Madrid, Spain",1.0,tapas
10,Mas Al Sur,4.4,"{'type': 'Point', 'coordinates': [-3.6969465, 40.4100538]}","Calle de Santa Isabel, 35, 28012 Madrid, Spain",1.0,tapas
11,La Musa Latina,4.2,"{'type': 'Point', 'coordinates': [-3.7120085, 40.4127847]}","Costanilla de San Andrés, 12, 28005 Madrid, Spain",2.0,tapas
12,Casa Toni,4.5,"{'type': 'Point', 'coordinates': [-3.7018627, 40.4155522]}","Calle de la Cruz, 14, 28012 Madrid, Spain",1.0,tapas
13,Jurucha,4.3,"{'type': 'Point', 'coordinates': [-3.6857353, 40.42789519999999]}","Cl. de Ayala, 19, 28001 Madrid, Spain",2.0,tapas
14,Entre Cáceres y Badajoz,4.0,"{'type': 'Point', 'coordinates': [-3.6707037, 40.4285453]}","Calle de Don Ramón de la Cruz, 109, 28001 Madrid, Spain",1.0,tapas
15,Rosi La Loca,4.5,"{'type': 'Point', 'coordinates': [-3.7029837, 40.4158037]}","Calle de Cádiz, 4, 28012 Madrid, Spain",1.0,tapas
16,El Sur,4.5,"{'type': 'Point', 'coordinates': [-3.6995308, 40.4110465]}","Calle de la Torrecilla del Leal, 12, 28012 Madrid, Spain",1.0,tapas
17,Inclán Brutal Bar,4.5,"{'type': 'Point', 'coordinates': [-3.7019311, 40.4151108]}","Calle de Álvarez Gato, 4, 28012 Madrid, Spain",1.0,tapas
18,Tapa Tapa Montera,3.7,"{'type': 'Point', 'coordinates': [-3.7019526, 40.4196362]}","Calle de la Montera, 47, 28013 Madrid, Spain",2.0,tapas
19,Lambuzo,4.4,"{'type': 'Point', 'coordinates': [-3.7081281, 40.4188068]}","Calle de las Conchas, 9, 28013 Madrid, Spain",2.0,tapas
20,Salón de Tapas Plaza Mayor,3.6,"{'type': 'Point', 'coordinates': [-3.706288799999999, 40.4150395]}","Calle de Gerona, 4, 28012 Madrid, Spain",2.0,tapas
21,El Respiro,4.2,"{'type': 'Point', 'coordinates': [-3.698289699999999, 40.4202592]}","Calle de las Infantas, 34, 28004 Madrid, Spain",1.0,tapas
22,LA TAPA,3.6,"{'type': 'Point', 'coordinates': [-3.7056951, 40.4305063]}","Calle de San Bernardo, 97, 28015 Madrid, Spain",,tapas
23,Docamar,4.3,"{'type': 'Point', 'coordinates': [-3.6481751, 40.4335969]}","Calle de Alcalá, 337, 28027 Madrid, Spain",1.0,tapas
24,La Casa del Abuelo,3.9,"{'type': 'Point', 'coordinates': [-3.701754, 40.4157387]}","Calle de la Victoria, 12, 28012 Madrid, Spain",2.0,tapas
25,Baco y Beto,4.5,"{'type': 'Point', 'coordinates': [-3.698471699999999, 40.42270430000001]}","Calle de Pelayo, 24, 28004 Madrid, Spain",1.0,tapas
26,Petisqueira,3.9,"{'type': 'Point', 'coordinates': [-3.7006588, 40.4271146]}","C. de Churruca, 6, 28004 Madrid, Spain",1.0,tapas
27,Sidrería el Tigre,4.4,"{'type': 'Point', 'coordinates': [-3.6987958, 40.4203575]}","Plaza de Chueca, 28004, 28004 Madrid, Spain",1.0,tapas
28,Txirimiri,4.2,"{'type': 'Point', 'coordinates': [-3.7105822, 40.4110973]}","Calle del Humilladero, 6, 28005 Madrid, Spain",2.0,tapas
29,Tapa Tapa Arenal,3.6,"{'type': 'Point', 'coordinates': [-3.707655899999999, 40.4174139]}","Calle del Arenal, 15, 28013 Madrid, Spain",2.0,tapas
30,Restaurante Los Galayos,4.2,"{'type': 'Point', 'coordinates': [-3.7066829, 40.4148971]}","Calle de Botoneras, 5, 28012 Madrid, Spain",2.0,tapas
31,La Trastienda Tapas,3.2,"{'type': 'Point', 'coordinates': [-3.697553, 40.422047]}","C/. Augusto Figuerroa, 24, Mercado de San Antón (puesto nº 4 ), 28004 Madrid, Spain",,tapas
32,Circo de las Tapas,4.1,"{'type': 'Point', 'coordinates': [-3.7041732, 40.4223635]}","Corredera Baja de San Pablo, 21, 28004 Madrid, Spain",2.0,tapas
33,Los Gatos,4.0,"{'type': 'Point', 'coordinates': [-3.6956739, 40.4135162]}","Calle de Jesús, 2, 28014 Madrid, Spain",2.0,tapas
34,Matador,4.5,"{'type': 'Point', 'coordinates': [-3.7028429, 40.4146951]}","Calle de la Cruz, 39, 28012 Madrid, Spain",1.0,tapas
35,Casa García Atocha,3.6,"{'type': 'Point', 'coordinates': [-3.7041384, 40.4143244]}","C. de Atocha, 14, 28012 Madrid, Spain",1.0,tapas
36,Las Bravas,4.3,"{'type': 'Point', 'coordinates': [-3.7018906, 40.415172]}","Calle de Álvarez Gato, 3, 28012 Madrid, Spain",1.0,tapas
37,Stop Madrid,4.2,"{'type': 'Point', 'coordinates': [-3.70071, 40.4209595]}","Calle de Hortaleza, 11, 28004 Madrid, Spain",2.0,tapas
38,Taberna Tempranillo,4.4,"{'type': 'Point', 'coordinates': [-3.7101361, 40.41202500000001]}","Calle de la Cava Baja, 38, 28005 Madrid, Spain",2.0,tapas
39,Taberna El Sur de Huertas,4.5,"{'type': 'Point', 'coordinates': [-3.6994713, 40.4136527]}","Calle de las Huertas, 24, 28014 Madrid, Spain",2.0,tapas
40,Las Bravas,4.0,"{'type': 'Point', 'coordinates': [-3.7019058, 40.4161787]}","Pje. de Mathéu, 5, 28012 Madrid, Spain",1.0,tapas
41,La Venencia,4.5,"{'type': 'Point', 'coordinates': [-3.699563, 40.415813]}","Calle de Echegaray, 7, 28014 Madrid, Spain",1.0,tapas
42,El Rincón Abulense,4.5,"{'type': 'Point', 'coordinates': [-3.7002631, 40.4193583]}","Calle del Caballero de Gracia, 18, 28013 Madrid, Spain",1.0,tapas
43,Café & Tapas,2.8,"{'type': 'Point', 'coordinates': [-3.7036534, 40.4148114]}","Calle de Carretas, 14, 28012 Madrid, Spain",2.0,tapas
44,Casa Julio,4.3,"{'type': 'Point', 'coordinates': [-3.703693, 40.4242824]}","Calle de la Madera, 37, 28004 Madrid, Spain",1.0,tapas
45,Tapas Gratis El Biombo,4.6,"{'type': 'Point', 'coordinates': [-3.7091415, 40.4220875]}","C/ Gran Vía, 59, 28013 Madrid, Spain",,tapas
46,Indalo tapas,2.6,"{'type': 'Point', 'coordinates': [-3.704224, 40.4142904]}","C. de Atocha, 14, 28012 Madrid, Spain",,tapas
47,Taberna La Descubierta,4.2,"{'type': 'Point', 'coordinates': [-3.7026268, 40.4152048]}","Calle de Barcelona, 12, 28012 Madrid, Spain",1.0,tapas
48,C&Tapas,3.3,"{'type': 'Point', 'coordinates': [-3.7027459, 40.4176219]}","Calle de la Montera, 10, 28013 Madrid, Spain",2.0,tapas
49,LaTa TaPa,3.1,"{'type': 'Point', 'coordinates': [-3.7019611, 40.418888]}","Calle de la Montera, 32, 28013 Madrid, Spain",,tapas
50,Vinitus Gran Via Madrid,4.8,"{'type': 'Point', 'coordinates': [-3.6976555, 40.4193171]}","C/ Gran Vía, 4, 28013 Madrid, Spain",,tapas
51,Cacao,4.6,"{'type': 'Point', 'coordinates': [-3.6970316, 40.4124311]}","C. de Moratín, 19, 28014 Madrid, Spain",2.0,tapas
52,Juana La Loca,4.5,"{'type': 'Point', 'coordinates': [-3.7110934, 40.4113498]}","Plaza de Puerta de Moros, 4, 28005 Madrid, Spain",2.0,tapas
53,Taberna De Ramales,3.8,"{'type': 'Point', 'coordinates': [-3.711238499999999, 40.4170085]}","Plaza de Ramales, 2, 28013 Madrid, Spain",2.0,tapas
54,"El Joselete, Bar de Tapas Sevillano en Madrid",4.2,"{'type': 'Point', 'coordinates': [-3.7092654, 40.4263956]}","Calle de Amaniel, 20, 28015 Madrid, Spain",,tapas
55,Tinto y Tapas San Pedro,4.5,"{'type': 'Point', 'coordinates': [-3.6949075, 40.4113081]}","Calle de San Pedro, 22, 28014 Madrid, Spain",1.0,tapas
56,h10 bar,4.2,"{'type': 'Point', 'coordinates': [-3.700808299999999, 40.4139589]}","Calle de las Huertas, 10, 28012 Madrid, Spain",1.0,tapas
57,Tapa Tapa Plaza de los Cubos,3.0,"{'type': 'Point', 'coordinates': [-3.7129645, 40.4253558]}","Calle de Sta. María Micaela, 4, Local 4, 28008 Madrid, Spain",2.0,tapas
58,Restaurante Taberna Madrid Madriz,4.2,"{'type': 'Point', 'coordinates': [-3.7013807, 40.4262556]}","Calle de Fuencarral, 85, 28004 Madrid, Spain",1.0,tapas
59,La Fragua de Vulcano,4.2,"{'type': 'Point', 'coordinates': [-3.701386, 40.4151018]}","Calle de Álvarez Gato, 9, 28012 Madrid, Spain",1.0,tapas
