,name,rating,location,address,price_level,place
0,Teatro Infanta Isabel,4.2,"{'type': 'Point', 'coordinates': [-3.6955395, 40.4222474]}","Calle del Barquillo, 24, 28004 Madrid, Spain",,teatro
1,Teatro Lara,4.4,"{'type': 'Point', 'coordinates': [-3.704428, 40.422096]}","Corredera Baja de San Pablo, 15, 28004 Madrid, Spain",,teatro
2,Teatro Amaya,4.2,"{'type': 'Point', 'coordinates': [-3.6970375, 40.4351273]}","Paseo del General Martínez Campos, 9, 28010 Madrid, Spain",,teatro
3,Fígaro Theater,4.1,"{'type': 'Point', 'coordinates': [-3.703701, 40.413462]}","Calle del Dr Cortezo, 5, 28012 Madrid, Spain",,teatro
4,Teatro Rialto,4.4,"{'type': 'Point', 'coordinates': [-3.707230999999999, 40.421345]}","C/ Gran Vía, 54, 28013 Madrid, Spain",,teatro
5,Teatro Español,4.6,"{'type': 'Point', 'coordinates': [-3.7001863, 40.4149459]}","Plaza Santa Ana, C. del Príncipe, 25, 28014 Madrid, Spain",,teatro
6,Teatro Maravillas Madrid,4.2,"{'type': 'Point', 'coordinates': [-3.7030711, 40.4287637]}","C. de Manuela Malasaña, 6, 28004 Madrid, Spain",,teatro
7,Teatros del Canal,4.5,"{'type': 'Point', 'coordinates': [-3.7051836, 40.43827900000001]}","Calle de Cea Bermúdez, 1, 28003 Madrid, Spain",,teatro
8,Teatro Calderón,4.3,"{'type': 'Point', 'coordinates': [-3.7034966, 40.4140434]}","C. de Atocha, 18, 28012 Madrid, Spain",,teatro
9,Teatro EDP Gran Vía,4.2,"{'type': 'Point', 'coordinates': [-3.7088222, 40.4224263]}","C/ Gran Vía, 66, 28013 Madrid, Spain",,teatro
10,Cofidis Alcázar Theater,4.2,"{'type': 'Point', 'coordinates': [-3.6990771, 40.4177414]}","Calle de Alcalá, 20, 28014 Madrid, Spain",,teatro
11,Teatros Luchana,4.4,"{'type': 'Point', 'coordinates': [-3.698257399999999, 40.4318815]}","Calle de Luchana, 38, 28010 Madrid, Spain",,teatro
12,Teatro Príncipe Gran Vía,4.2,"{'type': 'Point', 'coordinates': [-3.7026678, 40.4194965]}","Calle de las Tres Cruces, 8, 28013 Madrid, Spain",,teatro
13,Teatro del Barrio,4.6,"{'type': 'Point', 'coordinates': [-3.6992066, 40.4096082]}","Calle de Zurita, 20, 28012 Madrid, Spain",,teatro
14,Reina Victoria Theater,4.3,"{'type': 'Point', 'coordinates': [-3.699844199999999, 40.4164844]}","Carrera de S. Jerónimo, 24, 28014 Madrid, Spain",,teatro
15,Teatro de la Comedia,4.6,"{'type': 'Point', 'coordinates': [-3.7003923, 40.4155336]}","C. del Príncipe, 14, 28012 Madrid, Spain",,teatro
16,Teatro María Guerrero,4.6,"{'type': 'Point', 'coordinates': [-3.6929763, 40.4228892]}","Calle de Tamayo y Baus, 4, 28004 Madrid, Spain",,teatro
17,Teatro Alfil,4.4,"{'type': 'Point', 'coordinates': [-3.70452, 40.42318]}","Calle del Pez, 10, 28004 Madrid, Spain",,teatro
