,name,rating,location,address,price_level,place
0,La Hummuseria,4.6,"{'type': 'Point', 'coordinates': [-3.7000271, 40.4234353]}","Calle de Hernán Cortés, 8, 28004 Madrid, Spain",1.0,vegetarian
1,Mad Mad Vegan,4.8,"{'type': 'Point', 'coordinates': [-3.6986087, 40.4226983]}","Calle de Pelayo, 19, 28004 Madrid, Spain",2.0,vegetarian
2,Distrito Vegano,4.5,"{'type': 'Point', 'coordinates': [-3.6996503, 40.4070547]}","Calle del Dr. Fourquet, 32, 28012 Madrid, Spain",2.0,vegetarian
3,Sanissimo Opera Vegan,4.5,"{'type': 'Point', 'coordinates': [-3.7093565, 40.4190636]}","Calle de Campomanes, 5, 28013 Madrid, Spain",1.0,vegetarian
4,B13 bar,4.6,"{'type': 'Point', 'coordinates': [-3.7035174, 40.4219461]}","Calle de la Ballesta, 13, 28004 Madrid, Spain",1.0,vegetarian
5,Chillin' Cafe,4.6,"{'type': 'Point', 'coordinates': [-3.706212, 40.42205209999999]}","Calle de la Estrella, 5, 28004 Madrid, Spain",,vegetarian
6,VIVA BURGER,4.4,"{'type': 'Point', 'coordinates': [-3.711851, 40.412475]}","Costanilla de San Andrés, 16, 28005 Madrid, Spain",2.0,vegetarian
7,Pura Vida Vegan Bar,4.5,"{'type': 'Point', 'coordinates': [-3.6972604, 40.4102089]}","Calle de Santa Isabel, 27, 28012 Madrid, Spain",1.0,vegetarian
8,THUNDER,4.8,"{'type': 'Point', 'coordinates': [-3.702365, 40.424533]}","Calle de Don Felipe, 4, 28004 Madrid, Spain",1.0,vegetarian
9,BLoved Veggie Corner,4.5,"{'type': 'Point', 'coordinates': [-3.6991325, 40.4192046]}","C/ Gran Vía, 9, 28013 Madrid, Spain",,vegetarian
10,The Vegan Burger,2.6,"{'type': 'Point', 'coordinates': [-3.6822315, 40.435986]}","Calle del Gral Oraá, 34, 28006 Madrid, Spain",,vegetarian
11,Cookaluzka,4.6,"{'type': 'Point', 'coordinates': [-3.6690602, 40.4083057]}","Calle de Lira, 8, 28007 Madrid, Spain",1.0,vegetarian
12,Viva Chapata,4.3,"{'type': 'Point', 'coordinates': [-3.7008587, 40.4094335]}","Calle del Ave María, 43, 28012 Madrid, Spain",2.0,vegetarian
13,Ecocentro,4.2,"{'type': 'Point', 'coordinates': [-3.7048417, 40.4428361]}","Calle Esquilache, 2, 12, 28003 Madrid, Spain",,vegetarian
14,La Biotika,3.9,"{'type': 'Point', 'coordinates': [-3.6981875, 40.4132331]}","C. del Amor de Dios, 3, 28014 Madrid, Spain",1.0,vegetarian
15,Vega Alamo,4.6,"{'type': 'Point', 'coordinates': [-3.7091151, 40.4238398]}","Calle del Álamo, 3, 28015 Madrid, Spain",2.0,vegetarian
16,Freedom Cakes Café,4.6,"{'type': 'Point', 'coordinates': [-3.7028047, 40.4158763]}","Calle de Cádiz, 7, 28012 Madrid, Spain",2.0,vegetarian
17,La Huerta de Almeria,4.1,"{'type': 'Point', 'coordinates': [-3.7028915, 40.4232098]}","Corredera Baja de San Pablo, 47, 28004 Madrid, Spain",1.0,vegetarian
18,La Huerta De Almeria,4.1,"{'type': 'Point', 'coordinates': [-3.7073483, 40.4115521]}","Calle de San Millán, 2, 28005 Madrid, Spain",,vegetarian
19,Sanissimo Principe Pío Vegan,4.5,"{'type': 'Point', 'coordinates': [-3.7233034, 40.4227584]}","Paseo de la Florida, 37, 28008 Madrid, Spain",2.0,vegetarian
20,Mad Mad Vegan,5.0,"{'type': 'Point', 'coordinates': [-3.7030389, 40.4111134]}","Calle de Lavapiés, 16, 28012 Madrid, Spain",,vegetarian
21,La Huerta de Almería,3.8,"{'type': 'Point', 'coordinates': [-3.6967304, 40.4124558]}","C. de Moratín, 25, 28014 Madrid, Spain",1.0,vegetarian
22,Honest Greens Serrano,4.4,"{'type': 'Point', 'coordinates': [-3.6875762, 40.4285275]}","Calle de Serrano, 41, 28001 Madrid, Spain",2.0,vegetarian
23,La Alpargata Taberna Vegana,4.2,"{'type': 'Point', 'coordinates': [-3.7038198, 40.4076403]}","Mercado de San Fernando, Calle de Embajadores, 41, 28012 Madrid, Spain",,vegetarian
24,La Alegría de la Huerta,4.6,"{'type': 'Point', 'coordinates': [-3.7062094, 40.41029839999999]}","Calle de las Dos Hermanas, 22, 28012 Madrid, Spain",1.0,vegetarian
25,Kathmandu Tandoori House,4.8,"{'type': 'Point', 'coordinates': [-3.5787562, 40.47438229999999]}","Calle Acuario, 11, 28042 Madrid, Spain",1.0,vegetarian
26,Yerbabuena,4.4,"{'type': 'Point', 'coordinates': [-3.7078252, 40.4163939]}","Calle de Bordadores, 3, 28013 Madrid, Spain",,vegetarian
27,Vegicano,4.5,"{'type': 'Point', 'coordinates': [-3.7260429, 40.4129666]}","Calle de Doña Urraca, 15, 28011 Madrid, Spain",,vegetarian
28,A Burgers - Dirty Vegan Burgers 🌱 🍔 🍟,3.0,"{'type': 'Point', 'coordinates': [-3.697799, 40.413677]}","Calle de Lope de Vega, 16, 28014 Madrid, Spain",,vegetarian
29,Honest Greens Hortaleza,4.5,"{'type': 'Point', 'coordinates': [-3.6978312, 40.4248241]}","Calle de Hortaleza, 100, 28004 Madrid, Spain",2.0,vegetarian
30,Arugula,4.4,"{'type': 'Point', 'coordinates': [-3.681833, 40.422523]}","Calle de Castelló, 3, 28001 Madrid, Spain",1.0,vegetarian
